,question,entities,MuHeQA_Keywords,FLERT_NER,BERT_NER,RoBERTA_NER
39,what does  2674 pandarus orbit,['2674 Pandarus'],['2674 pandarus orbit'],[],[],['pandarus']
40,what is trond egil soltvedt's birth place ,['Trond Egil Soltvedt'],['trond egil soltvedt'],['trond egil soltvedt'],[],['trond egil soltvedt']
41,what series is super mario bros. 2 a part of,['Super Mario Bros. 2'],['super mario bros. 2'],['super mario bros . 2'],[],['super mario bros. 2']
42,what disease did anthony perkins die of,['Anthony Perkins'],['anthony perkins'],['anthony perkins'],[],['anthony perkins']
43,what is the mouth of the schuylkill river,['Schuylkill River'],['schuylkill river'],['schuylkill river'],['kill'],['schuylkill']
44,Which genre of book is bin laden: the man who declared war on america?,['Bin Laden: The Man Who Declared War on America'],"['america', 'bin laden']","['bin laden : the man', 'america']",['am'],"['bin laden', 'america']"
45,which position does brian dowling play in football,['Brian Dowling'],['brian dowling'],['brian dowling'],[],['brian dowling']
46,who was born in catania,['Catania'],['catania'],['catania'],['catania'],['catania']
47,who discovered 4171 carrasco,['4171 Carrasco'],['4171 carrasco'],[],[],['carrasco']
48,where was walter müller born,['Walter Müller'],['walter muller'],['walter müller'],[],['walter mÃ¼ller']
49,who published the video game fable (video game),['Fable'],['video game fable'],[],[],['fable']
50,what is the nationality of chris gwynn?,['Chris Gwynn'],['chris gwynn'],['chris gwynn'],[],['chris gwynn']
51,Which film did enrico medioli write?,['Enrico Medioli'],['enrico medioli'],['enrico medioli'],[],['enrico medioli']
52,which film is classified as a silent film,['silent film'],"['film', 'silent film']",[],[],[]
53,jack warner produced what american film?,['Jack Warner'],"['jack warner', 'american film']","['jack warner', 'american']",[],"['jack warner', 'american']"
54,What is the name of an album by superdrag,['Superdrag'],['superdrag'],['superdrag'],[],['superdrag']
55,What genre is the island of disco ensemble,['The Island of Disco Ensemble'],['island of disco'],[],[],['island of disco']
56,which county contains buckley,['Buckley'],['buckley'],['buckley'],[],['buckley']
57,what artist is signed with warner music group,['Warner Music Group'],['warner music group'],[],[],['warner music group']
58,which country is mark kramer from,['Mark Kramer'],['mark kramer'],['mark kramer'],[],['mark kramer']
59,how did janet gaynor pass away?,['Janet Gaynor'],['janet gaynor'],['janet gaynor'],[],['janet gaynor']
60,What is fred hawkins's gender?,['Fred Hawkins'],['fred hawkins'],['fred hawkins'],[],['fred hawkins']
61,What sort of music is soundwave 2010,['Soundwave 2010'],['soundwave 2010'],[],[],[]
62,is a song for summer a romance novel or drama,['A Song for Summer'],"['summer', 'romance novel or drama']",[],[],[]
63,what gender is mohinder suresh,['Mohinder Suresh'],['mohinder suresh'],['mohinder suresh'],[],['mohinder suresh']
64,WHat language is spoke in lenny,['Lenny'],['lenny'],['lenny'],[],['lenny']
65,what is the sex of jordon dizon,['Jordon Dizon'],['jordon dizon'],['jordon dizon'],[],['jordon dizon']
66,what album is by jethro tull (band)?,['Jethro Tull'],['jethro tull'],['jethro tull'],[],['jethro tull']
67,what is an example of a role-playing video game ,['role-playing video game'],['video game'],[],[],[]
68,what war was thomas whitham in,['Thomas Whitham'],['thomas whitham'],['thomas whitham'],[],['thomas whitham']
69,what is the name of a work done by  gary paulsen,['Gary Paulsen'],['gary paulsen'],['gary paulsen'],[],['gary paulsen']
70,What gender is werner m. moser?,['Werner M. Moser'],['werner m. moser'],['werner m. moser'],[],['werner m. moser']
71,which country is the film the fish child from,['The Fish Child'],['the fish child'],[],[],['the fish child']
72,Who wrote the film goltzius and the pelican company,['Goltzius and the Pelican Company'],"['film goltzius and', 'the pelican company']",['goltzius and the pelican company'],[],['goltzius and the pelican company']
73,Who is a known football player that plays forward,['forward'],['football player'],[],[],[]
74,what language is spoken in the medic,['The Medic'],['medic'],[],[],[]
75,what does carol kicinski do for her profession,['Carol Kicinski'],['carol kicinski'],['carol kicinski'],[],['carol kicinski']
76,where did hans dally die?,['Hans Dally'],['hans dally'],['hans dally'],[],['hans dally']
77,of what nationality is ken mcgoogan,['Ken McGoogan'],['ken mcgoogan'],['ken mcgoogan'],[],['ken mcgoogan']
78,what sort of film is combat report,['Combat Report'],"['film', 'combat report']",[],[],[]
79,What company published the game tenchu: wrath of heaven,['Tenchu: Wrath of Heaven'],['tenchu: wrath of heaven'],['tenchu : wrath of heaven'],[],['tenchu: wrath of heaven']
80,what illness did michael visaroff die from ,['Michael Visaroff'],['michael visaroff'],['michael visaroff'],[],['michael visaroff']
81,what label is ace of base signed to,['Ace of Base'],['ace of base'],[],[],['ace of base']
82,who edited the film cleopatra?,['Cleopatra'],['film cleopatra'],['cleopatra'],[],['cleopatra']
83,is 2464 nordenskiöld a meteor or an asteroid,['2464 Nordenskiöld'],['2464 nordenskiold'],[],[],['nordenskiÃ¶ld']
84,what country released the film  cube,['Cube'],"['film cube', 'what']",[],[],[]
85,what is 6864 starkenburg,['6864 Starkenburg'],['6864 starkenburg'],[],[],['starkenburg']
86,Where does the santa ana river end,['Santa Ana River'],['santa ana river end'],['santa ana river'],[],['santa ana']
87,Who did the music for the film carry on cruising,['Carry On Cruising'],['carry on cruising'],[],[],[]
88,What is enno lerian 's gender,['Enno Lerian'],['enno lerian'],['lerian'],[],['enno lerian']
89,Who directed woody meets davy crewcut,['Woody Meets Davy Crewcut'],['woody meets davy crewcut'],[],[],['woody meets davy crewcut']
90,Name an album by bill wyman.,['Bill Wyman'],['bill wyman'],['bill wyman'],[],['bill wyman']
91,Is jiřina bohdalová female or male?,['Jiřina Bohdalová'],['jirina bohdalova'],['jiřina bohdalová'],"['jiřina', 'ohdal']",['jiÅ Ļina bohdalovÃ¡']
92,Name an action film.,['action film'],['action film'],[],[],[]
93,what type of construction does cornwall bridge have,['Cornwall Bridge'],['cornwall bridge'],[],[],['cornwall']
94,what is aleksei kravchenko's origin?,['Aleksei Kravchenko'],['aleksei kravchenko'],['aleksei kravchenko'],['aleks'],['aleksei kravchenko']
95,what language was the act of killing in?,['The Act of Killing'],['language'],[],[],[]
96,which type of film is the bitter tea of general yen released in?,['The Bitter Tea of General Yen'],['general yen'],[],[],[]
97,Who is an artist signed to warner bros. records,['Warner Bros. Records'],['warner bros. records'],[],[],['warner bros. records']
98,who is a person with politician as a profession,['politician'],['profession'],[],[],[]
99,Name a drama film.,['drama film'],['drama film'],[],[],[]
100,is rob renes a male or female ,['Rob Renes'],['rob renes'],[],[],['rob renes']
101,What kind of music is the album farewell aldebaran,['Farewell Aldebaran'],['aldebaran'],[],[],['farewell aldebaran']
102,Who directed the film the congress,['The Congress'],['the congress'],[],[],['the congress']
103,what is an adaptation of la bohème called ,['La bohème'],['la boheme'],[],[],['bohÃ¨me']
104,What is the name of a folk rock album?,['folk rock'],['folk rock album'],[],[],[]
105,who wrote the music for kiss kiss,['Kiss Kiss'],['kiss kiss'],['kiss kiss'],[],['kiss kiss']
106,which film did ryuichi sakamoto create the music for ,['Ryuichi Sakamoto'],['ryuichi sakamoto'],['ryuichi sakamoto'],['ryu'],['ryuichi sakamoto']
107,what novelist was born in chicago?,['Chicago'],['chicago'],['chicago'],[],['chicago']
108,who is paul reubens's father,['Paul Reubens'],['paul reubens'],['paul reubens'],[],['paul reubens']
109,Who directed the the tourist film?,['The Tourist'],['tourist film'],[],[],[]
110,what is the name of an artist with epitaph records,['Epitaph Records'],['epitaph records'],[],[],[]
111,what genre of film is princess caraboo,['Princess Caraboo'],['princess caraboo'],['princess caraboo'],[],['princess caraboo']
112,what category of celestial objects does kappa draconis belong to,['Kappa Draconis'],['kappa draconis'],[],[],['kappa draconis']
113,which program was created by amy sherman-palladino,['Amy Sherman-Palladino'],['amy sherman-palladino'],['amy sherman-palladino'],[],['amy sherman-palladino']
114,Who is actor who was born in berlin?,['Berlin'],['berlin'],['berlin'],[],['berlin']
115,What's a gameplay mode in sacred,['Sacred'],[],[],[],[]
116,Who directed the film darling lili,['Darling Lili'],['film darling lili'],['darling lili'],[],['lili']
117,what city and state was c. jack ellis born in,['C. Jack Ellis'],['c. jack ellis'],['c. jack ellis'],[],['c. jack ellis']
118,Which country can claim that they created the stolen treaty,['The Stolen Treaty'],"['country', 'treaty']",[],[],[]
119,What is johnny russell's nationality?,['Johnny Russell'],['johnny russell'],['johnny russell'],[],['johnny russell']
120,what country did needful things take place in,['Needful Things'],"['country', 'needful things']",[],[],[]
121,who created the story for godzilla (1998 film),['Godzilla'],['godzilla'],['godzilla'],['zilla'],['godzilla']
122,where did vic frazier die?,['Vic Frazier'],['vic frazier'],[],[],['vic frazier']
123,where was sjafruddin prawiranegara born,['Sjafruddin Prawiranegara'],['sjafruddin prawiranegara'],['sjafruddin prawiranegara'],[],['sjafruddin prawiranegara']
124,Which instrument did grete sultan play?,['Grete Sultan'],['grete sultan'],[],[],['grete']
125,Who wrote the book strega,['Strega'],['book strega'],[],[],['strega']
126,what is georgia gibbs's country of nationality?,['Georgia Gibbs'],['georgia gibbs'],['georgia gibbs'],['g'],['georgia gibbs']
127,The film abduction  was edited by whom? ,['Abduction'],"['whom', 'film abduction']",[],[],[]
128,What's a movie where stuart ford was the executive producer,['Stuart Ford'],"['stuart ford', ""what's a movie""]",['stuart ford'],[],['stuart ford']
129,What is Roger Molliens gender?,['Roger Mollien'],['roger molliens gender'],['Roger Molliens'],['Roger Mollie'],['Roger Molliens']
130,what is the genre of bernthøler?,['Bernthøler'],['bernthøler'],[],[],[]
131,Which basin country is hinze dam located in,['Hinze Dam'],['hinze dam'],[],[],['hinze dam']
132,where was hank cochran birthed,['Hank Cochran'],['hank cochran'],['hank cochran'],[],['hank cochran']
133,what is the gender of eberhard kinzel?,['Eberhard Kinzel'],['eberhard kinzel'],['eberhard kinzel'],['berhard'],['eberhard kinzel']
134,What film was produced by monogram pictures?,['Monogram Pictures'],['monogram pictures'],[],[],[]
135,leo bertos was born in what country?,['Leo Bertos'],['leo bertos'],['leo bertos'],[],['leo bertos']
136,Which language is the film grindhouse in,['Grindhouse'],['grindhouse'],[],[],[]
137,which country is on my way from,['On My Way'],['country'],[],[],[]
138,what gender is hawkman?,['Hawkman'],['hawkman'],['hawkman'],[],['hawkman']
139,What gender is laura kirkpatrick,['Laura Kirkpatrick'],['laura kirkpatrick'],['laura kirkpatrick'],[],['laura kirkpatrick']
140,What language does Sanjog Se Bani Sangini speak?,['Sanjog Se Bani Sangini'],['sanjog se bani sangini'],['Sanjog Se Bani Sangini'],['Sanjog Se Bani Sangini'],['Sanjog Se Bani Sangini']
141,what kind of game is super monkey ball: banana blitz,['Super Monkey Ball: Banana Blitz'],"['banana blitz', 'super monkey ball']",['monkey'],[],[]
142,who wrote the film the inner circle,['The Inner Circle'],['the inner circle'],[],[],['the inner circle']
143,where is the birthplace of rob margolies,['Rob Margolies'],['rob margolies'],[],[],['rob margolies']
144,name a piano player.,['piano'],['piano player'],[],[],[]
145,what is the name of an episode of life on a stick,['Life on a Stick'],['life on a stick'],[],[],"['life', 'a']"
146,eva isaksen is a national of which state?,['Eva Isaksen'],['eva isaksen'],['eva isaksen'],[],['eva isaksen']
147,what was joseph-ferdinand daniel's place of death,['Joseph-Ferdinand Daniel'],['joseph-ferdinand daniel'],['joseph-ferdinand daniel'],[],['joseph-ferdinand daniel']
148,who directed the film drums of tahiti,['Drums of Tahiti'],['drums of tahiti'],['drums of tahiti'],[],['drums of tahiti']
149,Where is philippe delorme from?,['Philippe Delorme'],['philippe delorme'],['philippe delorme'],['ip'],['philippe delorme']
150,what type of celestial object is (101180) 1998 sh9,['(101180) 1998 SH9'],"['celestial object', '101180', '1998 sh9']",[],[],[]
151,where was gail harris born?,['Gail Harris'],['gail harris'],['gail harris'],[],['gail harris']
152,Is anatoliy matkevych male or female?,['Anatoliy Matkevych'],['anatoliy matkevych male or female'],['anatoliy matkevych'],[],['anatoliy matkevych']
153,what position does bernie graham play,['Bernie Graham'],['bernie graham'],['bernie graham'],[],['bernie graham']
154,what nation is harry werner storz originally from,['Harry Werner Storz'],['harry werner storz'],['harry werner storz'],[],['harry werner storz']
155,What nation is jerry wald from?,['Jerry Wald'],['jerry wald'],['jerry wald'],[],['jerry wald']
156,which genre does the title ancient evil: scream of the mummy fall under,['Ancient Evil: Scream of the Mummy'],['ancient evil: scream of the mummy'],['ancient evil : scream of the mummy fall'],[],"['ancient evil', 'scream of the mummy']"
157,who developed the computer videogame empire earth,['Empire Earth'],['computer videogame empire earth'],[],[],['empire earth']
158,"what county is  east peoria, illinois in ",['East Peoria'],"['illinois', 'east peoria']","['east peoria', 'illinois']",[],"['east peoria', 'illinois']"
159,who's a kung fu star from hong kong,['Hong Kong'],"['fu', 'hong kong']",['hong kong'],[],['hong kong']
160,What's a gameplay mode in silhouette mirage,['Silhouette Mirage'],['silhouette mirage'],[],[],[]
161,which european nation is days and clouds filmed in?,['Days and Clouds'],['european nation'],['european'],[],['european']
162,Which canadian city was william southam born in,['William Southam'],"['william southam', 'canadian city']","['canadian', 'william southam']",[],"['canadian', 'william southam']"
163,What is the nationality of vladimir baksheyev?,['Vladimir Baksheyev'],['vladimir baksheyev'],['vladimir baksheyev'],['vladimir baksheyev'],['vladimir baksheyev']
164,what is the gender of paul phoenix,['Paul Phoenix'],['paul phoenix'],['paul phoenix'],[],['paul phoenix']
165,which position does ray lewis play,['Ray Lewis'],['ray lewis'],['ray lewis'],[],['ray lewis']
166,what language is pati parmeshwar in ,['Pati Parmeshwar'],['pati par'],[],[],['pati parmeshwar']
167,what's a eurodance by ian van dahl,['Eurodance'],"['ian van dahl', ""what's a eurodance""]","['a eurodance', 'ian van dahl']",['an van da'],['ian van dahl']
168,where was harvey lowe given birth,['Harvey Lowe'],['harvey lowe'],['harvey lowe'],[],['harvey lowe']
169,What first level division is in the Dominican Republic?,['Dominican Republic'],['dominican republic'],['Dominican Republic'],['Dominican Republic'],['Dominican Republic']
170,which english novelist wrote the work payment deferred?,['Payment Deferred'],['english novelist'],['english'],[],['english']
171,What is alain sutter position,['Alain Sutter'],['alain sutter position'],['alain'],[],['alain sutter']
172,what language is road house in?,['Road House'],['language'],[],[],['road house']
173,Which position in football did lee ho-jin play,['Lee Ho-jin'],['lee ho-jin'],['lee ho-jin'],[],['lee ho-jin']
174,what city did georg baselt die in,['Georg Baselt'],['georg baselt'],['georg baselt'],[],['georg baselt']
175,what does henry nielsen do,['Henry Nielsen'],['henry nielsen'],['henry nielsen'],[],['henry nielsen']
176,Who composed the music for the salamander?,['The Salamander'],['the salamander'],[],[],[]
177,who discovered 5551 glikson,['5551 Glikson'],['5551 glikson'],[],[],['glikson']
178,what is dave henderson ethnicity?,['Dave Henderson'],['dave henderson ethnicity'],['dave henderson'],[],['dave henderson']
179,birth of a golem is a film directed by what notable director,['Birth of a Golem'],['birth of a golem'],['birth of a golem'],[],['birth of a golem']
180,which city did carl-alfred schumacher die,['Carl-Alfred Schumacher'],['carl-alfred schumacher'],['carl-alfred schumacher'],['al'],['carl-alfred schumacher']
181,which city was ezekiel f. chambers born ,['Ezekiel F. Chambers'],['ezekiel f. chambers'],['ezekiel f. chambers'],[],['ezekiel f. chambers']
182,how is magnant played ,['Magnant'],['magnant'],[],[],['magnant']
183,which genre does chungking express belong to,['Chungking Express'],['chungking express'],[],[],['chungking express']
184,which city was gail davis born,['Gail Davis'],['gail davis'],['gail davis'],[],['gail davis']
185,what style of music is the best of the stylistics released in?,['The Best of The Stylistics'],['stylistics'],[],[],[]
186,who was a famous person born in gwalior,['Gwalior'],['gwalior'],['gwalior'],['gwalior'],['gwalior']
187,what gender is the woman carolin fink,['Carolin Fink'],['woman carolin fink'],['carolin fink'],[],['carolin fink']
188,What is thomas Östros' profession?,['Thomas Östros'],"[""thomas ostros' profession""]","[""thomas Östros'""]",['Östro'],['thomas Ãĸstros']
189,what country is porsuk river in,['Porsuk River'],['porsuk'],['porsuk river'],[],['porsuk']
190,What is an example of a single-player video game,['single-player video game'],['single-player video game'],[],[],[]
191,what kind of music is christy carlson romano,['Christy Carlson Romano'],['christy carlson romano'],['christy carlson'],[],['christy carlson romano']
192,Who wrote the case of the toxic spell dump,['The Case of the Toxic Spell Dump'],['toxic spell dump'],[],[],[]
193,What is an album by phil manzanera?,['Phil Manzanera'],['phil manzanera'],['phil manzanera'],[],['phil manzanera']
194,"Where was john f. mulholland, jr. born?","['John F. Mulholland, Jr.']","['john f. mulholland, jr']",['john f. mulholland'],['hol'],"['john f. mulholland', '.']"
195,what asteroid group is 43706 iphiklos part of ,['43706 Iphiklos'],['iphiklos'],[],[],['iphiklos']
196,What language is used for the movie the last good time,['The Last Good Time'],['the last good time'],[],[],[]
197,who directed the spanish gypsy,['The Spanish Gypsy'],['spanish gypsy'],['spanish'],[],['spanish']
198,what country is plötzensee located in,['Plötzensee'],['plotzensee'],[],['ense'],['plÃ¶tzensee']
199,where did prince arthur of connaught die ,['Prince Arthur of Connaught'],"['connaught', 'prince arthur']",['arthur of connaught'],[],"['arthur', 'connaught']"
200,where in england was rik mayall's place of birth?,['Rik Mayall'],"['rik mayall', 'england']","['england', 'rik mayall']",[],"['england', 'rik mayall']"
201,Who is the famous father of jack carter,['Jack Carter'],['jack carter'],['jack carter'],[],['jack carter']
202,which band made on earth to make the numbers up,['On Earth to Make the Numbers Up'],['earth'],[],[],[]
203,what is the nationality of louise latimer?,['Louise Latimer'],['louise latimer'],['louise latimer'],[],['louise latimer']
204,where was harold gore's birthplace,['Harold Gore'],['harold gore'],['harold gore'],[],['harold gore']
205,which country was magic man made for,['Magic Man'],['man made'],[],[],[]
206,who directed michael jackson: number ones ,['Number Ones'],"['michael jackson', 'number ones']",['michael jackson'],[],['michael jackson']
207,what is the country from which james c. dobbin nationality is derived,['James C. Dobbin'],['james c. dobbin nationality'],['james c. dobbin'],[],['james c. dobbin']
208,Who is the artist of the album early music?,['Early Music'],['album early music'],[],[],[]
209,Who produced the ladykillers?,['The Ladykillers'],['ladykillers'],[],[],[]
210,Is ricardo delgado male of female,['Ricardo Delgado'],['ricardo delgado'],['ricardo delgado'],[],['ricardo delgado']
211,Which movie did a time to love and a time to die direct?,['A Time to Love and a Time to Die'],"['a time to love', 'a time to die']",[],[],[]
212,what is constantinos mina gender,['Constantinos Mina'],['constantinos mina'],['constantinos mina'],[],['constantinos mina']
213,what killed tom held,['Tom Held'],['tom'],[],[],['tom held']
214,Who is the artist off the album battle for the sun,['Battle for the Sun'],['battle for the sun'],[],[],['battle for the sun']
215,Where was pierre samuel du pont de nemours' place of birth?,['Pierre Samuel du Pont de Nemours'],['pierre samuel du pont de nemours'],"['pierre samuel', ""pont de nemours'""]",[],['pierre samuel du pont de nemours']
216,What kind of music is dirty work,['Dirty Work'],"['music', 'dirty work']",[],[],[]
217,where did archie maclaren pass away,['Archie MacLaren'],['archie maclaren'],['archie maclaren'],[],['archie maclaren']
218,Where was yuriy furta birthed,['Yuriy Furta'],['yuriy furta'],['yuriy furta'],[],['yuriy furta']
219,Which Italian music composer was born in gaeta?,['Gaeta'],"['italian music composer', 'gaeta']","['Italian', 'gaeta']","['Italian', 'g']","['Italian', 'gaeta']"
220,What position does karsten smith play,['Karsten Smith'],['karsten smith'],['karsten smith'],[],['karsten smith']
221,What is ville vänni's gender,['Ville Vänni'],['ville vanni'],['ville vänni'],[],['ville vÃ¤nni']
222,what country released gintama: the movie,['Gintama: The Movie'],['gintama: the movie'],['gintama'],[],['gintama']
223,what is the genre of the film kalyug,['Kalyug'],['film kalyug'],[],[],['kalyug']
224,who is the artist on the album say it like you mean it,['Say It Like You Mean It'],['album'],[],[],[]
225,What italian writer is credited on the church?,['The Church'],['italian writer'],['italian'],[],['italian']
226,what game is a platform game?,['platform game'],"['game', 'platform game']",[],[],[]
227,what's a second level division in brazil,['Brazil'],['brazil'],['brazil'],[],['brazil']
228,what country does mike altieri represent,['Mike Altieri'],['mike altieri'],['mike altieri'],[],['mike altieri']
229,what is the netflix genre of the film  three came home,['Three Came Home'],"['three came home', 'netflix']",['three came home'],[],"['netflix', 'three came home']"
230,What country is yvonne ryding from?,['Yvonne Ryding'],['yvonne ryding'],['yvonne ryding'],['y'],['yvonne ryding']
231,Who is the lyricist behind the composition supercalifragilisticexpialidocious?,['Supercalifragilisticexpialidocious'],['composition supercalifragilisticexpialidocious'],['supercalifragilisticexpialidocious'],[],['supercalifragilisticexpialidocious']
232,Where in europe was barbara hicks born,['Barbara Hicks'],"['europe', 'barbara hicks']","['europe', 'barbara hicks']",[],"['europe', 'barbara hicks']"
233,where did tillie k. fowler die?,['Tillie K. Fowler'],['tillie k. fowler'],['tillie k. fowler'],[],['tillie k. fowler']
234,who is an Italian midfielder?,['midfielder'],['italian midfielder'],['Italian'],['Italian'],['Italian']
235,Where was christoph grimm born?,['Christoph Grimm'],['christoph grimm'],['christoph grimm'],['ch'],['christoph grimm']
236,which position is anthony barry known for,['Anthony Barry'],['anthony barry'],['anthony barry'],[],['anthony barry']
237,What gender is otto nagel,['Otto Nagel'],['otto nagel'],['otto nagel'],[],['otto nagel']
238,which guitarist is represented by columbia records?,['Columbia Records'],['columbia records'],['columbia'],[],['columbia records']
239,What country does the ellice river run through,['Ellice River'],['ellice river'],[],[],['ellice']
240,what position does horst heldt play ,['Horst Heldt'],['horst heldt'],['horst heldt'],[],['horst heldt']
241,what's the title of a science fantasy book,['science fantasy'],['science fantasy book'],[],[],[]
242,Who plays the drum kit?,['drum kit'],['drum kit'],[],[],[]
243,What is milan vilotić's birth place,['Milan Vilotić'],['milan vilotic'],['milan vilotić'],['milan'],['milan vilotiÄĩ']
244,which gender does joseph satoshi fukahori belong to,['Joseph Satoshi Fukahori'],['joseph satoshi fukahori'],['joseph satoshi fukahori'],[],['joseph satoshi fukahori']
245,what film was produced by carlo ponti?,['Carlo Ponti'],['carlo ponti'],['carlo ponti'],[],['carlo ponti']
246,what is joseph moxon's profession?,['Joseph Moxon'],['joseph moxon'],['joseph moxon'],[],['joseph moxon']
247,who directed the film ram lakhan,['Ram Lakhan'],['film ram lakhan'],['ram lakhan'],[],['ram lakhan']
248,which european nationality does henryk borowski belong to?,['Henryk Borowski'],"['henryk borowski', 'european nationality']","['european', 'henryk borowski']",['henry'],"['european', 'henryk borowski']"
249,Which artist recorded somethin' slick!?,"[""Somethin' Slick!""]","[""somethin' slick!""]",[],[],[]
250,what movie is produced by walt disney pictures,['Walt Disney Pictures'],['walt disney pictures'],[],[],['walt disney pictures']
251,what kind of object is 34419 corning?,['34419 Corning'],['34419 corning'],[],[],[]
252,which file did alex north write music for?,['Alex North'],['alex north'],['alex north'],[],['alex north']
253,What is the name of a football player that plays as a forward,['forward'],"['football player', 'forward']",[],[],[]
254,what is the gameplay mode of the sims 3: world adventures,['The Sims 3: World Adventures'],"['world adventures', 'sims 3']",['sims 3'],[],['sims 3']
255,in what category is hms e56 located,['HMS E56'],['hms e56'],[],[],['e56']
256,which movie did a. r. murugadoss direct ,['A. R. Murugadoss'],['a. r. murugadoss'],['a. r. murugadoss'],[],['a. r. murugadoss']
257,what kind of sports team is houston cougars football,['Houston Cougars football'],['houston cougars football'],['houston cougars football'],[],['houston cougars']
258,Which country is the film sjors en sjimmie en de gorilla from,['Sjors en Sjimmie en de Gorilla'],['sjors en sjimmie en de gorilla'],['sjors en sjimmie en de gorilla'],[],['sjors en sjimmie en de gorilla']
259,What film did bob kane contribute to?,['Bob Kane'],['bob kane'],['bob kane'],[],['bob kane']
260,what style of music does mariella farré sign,['Mariella Farré'],['mariella farre'],['mariella farré'],[],['mariella farrÃ©']
