,question,entities,MuHeQA_NER,MuHeQA_PoS,MuHeQA_NER+PoS,FLERT,BERT,RoBERTA,MuHeQA_FLERT
18,who was the architect of the structure tour perret,['Tour Perret'],['tour perret'],['structure tour perret'],['structure tour perret'],[],[],['tour perret'],['structure tour perret']
19,What is an album by guy clark?,['Guy Clark'],['guy clark'],['guy clark'],['guy clark'],['guy clark'],[],['guy clark'],['guy clark']
20,what's the name of an Australian rock and roll,['rock and roll'],"['australian', 'roll']",['Australian rock and roll'],['australian rock and roll'],['Australian'],['Australian'],['Australian'],['Australian']
21,what is the category of the celestial object 1241 dysona,['1241 Dysona'],['dysona'],['celestial object 1241 dysona'],['celestial object 1241 dysona'],[],[],['dysona'],['celestial object 1241 dysona']
22,What is a type of gameplay available to gamers playing custom robo v2,['Custom Robo V2'],['robo v'],"['gamers', 'custom robo v2']",['custom robo v2'],[],[],['custom robo v2'],"['gamers', 'custom robo v2']"
23,What's an example of a romance film,['romance film'],[],['romance film'],['romance film'],[],[],[],['romance film']
24,where was shigeyasu suzuki's place of birth,['Shigeyasu Suzuki'],['shigeyasu suzuki'],"['shigeyasu suzuki', 'birth']",['shigeyasu suzuki'],['shigeyasu suzuki'],['hi'],['shigeyasu suzuki'],['shigeyasu suzuki']
25,which nationality is yonatan rozen,['Jonathan Rozen'],['yonatan rozen'],"['nationality', 'yonatan rozen']",['yonatan rozen'],['yonatan rozen'],[],['yonatan rozen'],['yonatan rozen']
26,which indian city was fazil born in,['Fazil'],"['indian', 'fazil']",['indian city'],"['indian city', 'fazil']","['indian', 'fazil']",['dian'],"['indian', 'fazil']","['indian city', 'fazil']"
27,where was paolo de la haza born?,['Paolo de la Haza'],['paolo de la haza'],[],['paolo de la haza'],['paolo de la haza'],"['paolo', 'la ha']",['paolo de la haza'],['paolo de la haza']
28,what gender is daniela cristofori ,['Daniela Cristofori'],['daniela cristofori'],['gender'],['daniela cristofori'],['daniela cristofori'],['da'],['daniela cristofori'],['daniela cristofori']
29,in which country was overnight delivery filmed in,['Overnight Delivery'],[],"['country', 'overnight delivery']","['country', 'overnight delivery']",[],[],[],"['country', 'overnight delivery']"
30,what is the second level division of the division crixás do tocantins,['Crixás do Tocantins'],['crixas do tocantins'],"['division crixás', 'tocantins']",['crixas do tocantins'],[],[],['crixÃ¡s do tocantins'],"['division crixas', 'tocantins']"
31,Which film was directed by ian iqbal rashid,['Ian Iqbal Rashid'],['ian iqbal rashid'],"['film', 'ian iqbal rashid']",['ian iqbal rashid'],['ian iqbal rashid'],"['i', 'iq']",['ian iqbal rashid'],['ian iqbal rashid']
32,in what county is monango found,['Monango'],['monango'],"['county', 'monango']",['monango'],[],[],['monango'],"['county', 'monango']"
33,who recorded rca records,['RCA Records'],"['who', 'rca records']",['rca records'],"['who', 'rca records']",[],[],['rca'],['rca records']
34,who is the artist of breathing your love?,['Breathing Your Love'],[],['love'],['love'],[],[],[],['love']
35,What is a gampelay mode found in the game allegiance,['Allegiance'],"['gampelay', 'allegiance']","['gampelay mode', 'game allegiance']","['game allegiance', 'gampelay mode']",[],[],[],"['gampelay mode', 'game allegiance']"
36,What type of film is raghuvinte swantham raziya,['Raghuvinte Swantham Raziya'],['raghuvinte swantham raziya'],['film'],['raghuvinte swantham raziya'],['raghuvinte swantham raziya'],[],['raghuvinte swantham raziya'],['raghuvinte swantham raziya']
37,Which films has leonid gaidai written,['Leonid Gaidai'],"['which films', 'leonid gaidai']","['films', 'leonid gaidai']","['leonid gaidai', 'which films']",['leonid gaidai'],[],['leonid gaidai'],['leonid gaidai']
38,What is an organization that j. a. folger founded?,['J. A. Folger'],['j. a. folger'],"['organization', 'folger']",['j. a. folger'],['j. a. folger'],[],['j. a. folger'],['j. a. folger']
39,What is shinji mori's gender?,['Shinji Mori'],['shinji mori'],"['shinji mori', 'gender']",['shinji mori'],['shinji mori'],[],['shinji mori'],['shinji mori']
40,what style of music did john pizzarelli play ,['John Pizzarelli'],"['msui', 'john pizzarelli']","['music', 'john pizzarelli']","['john pizzarelli', 'music']",['john pizzarelli'],['pizza'],"['msu', 'john pizzarelli']",['john pizzarelli']
41,what does  2674 pandarus orbit,['2674 Pandarus'],['pandarus'],['2674 pandarus orbit'],['2674 pandarus orbit'],[],[],['pandarus'],['2674 pandarus orbit']
42,what is trond egil soltvedt's birth place ,['Trond Egil Soltvedt'],['trond egil soltvedt'],"['trond egil soltvedt', 'birth place']",['trond egil soltvedt'],['trond egil soltvedt'],[],['trond egil soltvedt'],['trond egil soltvedt']
43,what series is super mario bros. 2 a part of,['Super Mario Bros. 2'],['super mario bros. 2'],"['series', 'super mario bros', '2']",['super mario bros. 2'],['super mario bros . 2'],[],['super mario bros. 2'],['super mario bros . 2']
44,what disease did anthony perkins die of,['Anthony Perkins'],['anthony perkins'],"['disease', 'anthony perkins']",['anthony perkins'],['anthony perkins'],[],['anthony perkins'],['anthony perkins']
45,what is the mouth of the schuylkill river,['Schuylkill River'],['schuylkill'],['schuylkill river'],['schuylkill river'],['schuylkill river'],['kill'],['schuylkill'],['schuylkill river']
46,Which genre of book is bin laden: the man who declared war on america?,['Bin Laden: The Man Who Declared War on America'],"['bin laden', 'america']","['book', 'bin laden', 'man', 'america']","['bin laden', 'america']","['bin laden : the man', 'america']",['am'],"['bin laden', 'america']","['bin laden : the man', 'america']"
47,Name a model that died due to a car accident,['traffic collision'],[],"['model', 'car accident']","['model', 'car accident']",[],[],[],"['model', 'car accident']"
48,which position does brian dowling play in football,['Brian Dowling'],['brian dowling'],"['position', 'dowling', 'football']",['brian dowling'],['brian dowling'],[],['brian dowling'],['brian dowling']
49,who was born in catania,['Catania'],['catania'],['catania'],['catania'],['catania'],['catania'],['catania'],['catania']
50,who discovered 4171 carrasco,['4171 Carrasco'],['carrasco'],['4171 carrasco'],['4171 carrasco'],[],[],['carrasco'],['4171 carrasco']
51,What is the profession of julio medem?,['Julio Médem'],['julio medem'],['julio medem'],['julio medem'],['julio medem'],[],['julio medem'],['julio medem']
52,where was walter müller born,['Walter Müller'],['walter muller'],['walter müller'],['walter muller'],['walter müller'],[],['walter mÃ¼ller'],['walter müller']
53,who published the video game fable (video game),['Fable'],['fable'],"['video game fable', 'video game']",['video game fable'],[],[],['fable'],"['video game fable', 'video game']"
54,what is the nationality of chris gwynn?,['Chris Gwynn'],['chris gwynn'],['chris gwynn'],['chris gwynn'],['chris gwynn'],[],['chris gwynn'],['chris gwynn']
55,Which film did enrico medioli write?,['Enrico Medioli'],['enrico medioli'],"['film', 'medioli']",['enrico medioli'],['enrico medioli'],[],['enrico medioli'],['enrico medioli']
56,which film is classified as a silent film,['silent film'],[],"['film', 'silent film']","['film', 'silent film']",[],[],[],"['film', 'silent film']"
57,jack warner produced what american film?,['Jack Warner'],"['jack warner', 'american']","['jack warner', 'american film']","['american film', 'jack warner']","['jack warner', 'american']",[],"['jack warner', 'american']","['american film', 'jack warner']"
58,What is the name of an album by superdrag,['Superdrag'],['superdrag'],['superdrag'],['superdrag'],['superdrag'],[],['superdrag'],['superdrag']
59,What genre is the island of disco ensemble,['The Island of Disco Ensemble'],['island of disco'],"['genre', 'disco ensemble']",['island of disco'],[],[],['island of disco'],"['genre', 'disco ensemble']"
60,which county contains buckley,['Buckley'],['buckley'],"['county', 'buckley']",['buckley'],['buckley'],[],['buckley'],['buckley']
61,what artist is signed with warner music group,['Warner Music Group'],['warner music group'],"['artist', 'warner music group']",['warner music group'],[],[],['warner music group'],"['artist', 'warner music group']"
62,what country is dracula in brianza from,['Dracula in the Provinces'],"['dracula', 'brianza']",['country'],"['dracula', 'brianza']",[],[],"['dracula', 'brianza']",['country']
63,which country is mark kramer from,['Mark Kramer'],['mark kramer'],['country'],['mark kramer'],['mark kramer'],[],['mark kramer'],['mark kramer']
64,how did janet gaynor pass away?,['Janet Gaynor'],['janet gaynor'],['janet gaynor'],['janet gaynor'],['janet gaynor'],[],['janet gaynor'],['janet gaynor']
65,What is fred hawkins's gender?,['Fred Hawkins'],['fred hawkins'],"['fred hawkins', 'gender']",['fred hawkins'],['fred hawkins'],[],['fred hawkins'],['fred hawkins']
66,What sort of music is soundwave 2010,['Soundwave 2010'],['soundwave'],"['music', 'soundwave 2010']",['soundwave 2010'],[],[],[],"['music', 'soundwave 2010']"
67,is a song for summer a romance novel or drama,['A Song for Summer'],[],"['summer', 'romance novel or drama']","['summer', 'romance novel or drama']",[],[],[],"['summer', 'romance novel or drama']"
68,what gender is mohinder suresh,['Mohinder Suresh'],['mohinder suresh'],['gender'],['mohinder suresh'],['mohinder suresh'],[],['mohinder suresh'],['mohinder suresh']
69,WHat language is spoke in lenny,['Lenny'],['lenny'],"['language', 'lenny']",['lenny'],['lenny'],[],['lenny'],['lenny']
70,what is the sex of jordon dizon,['Jordon Dizon'],['jordon dizon'],['jordon dizon'],['jordon dizon'],['jordon dizon'],[],['jordon dizon'],['jordon dizon']
71,what album is by jethro tull (band)?,['Jethro Tull'],['jethro tull'],"['album', 'jethro tull', 'band']",['jethro tull'],['jethro tull'],[],['jethro tull'],['jethro tull']
72,what is an example of a role-playing video game ,['role-playing video game'],[],['video game'],['video game'],[],[],[],['video game']
73,what war was thomas whitham in,['Thomas Whitham'],['thomas whitham'],['war'],['thomas whitham'],['thomas whitham'],[],['thomas whitham'],['thomas whitham']
74,what is the name of a work done by  gary paulsen,['Gary Paulsen'],['gary paulsen'],"['work', 'gary paulsen']",['gary paulsen'],['gary paulsen'],[],['gary paulsen'],['gary paulsen']
75,What gender is werner m. moser?,['Werner M. Moser'],['werner m. moser'],"['gender', 'm. moser']",['werner m. moser'],['werner m. moser'],[],['werner m. moser'],['werner m. moser']
76,which country is the film the fish child from,['The Fish Child'],['the fish child'],"['country', 'film']",['the fish child'],[],[],['the fish child'],"['country', 'film']"
77,Who wrote the film goltzius and the pelican company,['Goltzius and the Pelican Company'],"['goltzius', 'the pelican company']","['film goltzius and', 'pelican company']","['film goltzius and', 'the pelican company']",['goltzius and the pelican company'],[],['goltzius and the pelican company'],['goltzius and the pelican company']
78,Who is a known football player that plays forward,['forward'],[],['football player'],['football player'],[],[],[],['football player']
79,what production company was involved in smokin' aces 2: assasins' ball,"[""Smokin' Aces 2: Assassins' Ball""]","[""smokin' aces 2"", ""assasins' ball""]","['production company', 'smokin', 'aces 2', ""assasins' ball""]","[""smokin' aces 2"", ""assasins' ball""]","[""aces 2 : assasins' ball""]",[],[],"[""aces 2 : assasins' ball""]"
80,what language is spoken in the medic,['The Medic'],['med'],"['language', 'medic']",['medic'],[],[],[],"['language', 'medic']"
81,what does carol kicinski do for her profession,['Carol Kicinski'],['carol kicinski'],"['carol kicinski', 'profession']",['carol kicinski'],['carol kicinski'],[],['carol kicinski'],['carol kicinski']
82,where did hans dally die?,['Hans Dally'],['hans dally'],['hans dally'],['hans dally'],['hans dally'],[],['hans dally'],['hans dally']
83,of what nationality is ken mcgoogan,['Ken McGoogan'],['ken mcgoogan'],"['nationality', 'ken mcgoogan']",['ken mcgoogan'],['ken mcgoogan'],[],['ken mcgoogan'],['ken mcgoogan']
84,what sort of film is combat report,['Combat Report'],[],"['film', 'combat report']","['film', 'combat report']",[],[],[],"['film', 'combat report']"
85,What company published the game tenchu: wrath of heaven,['Tenchu: Wrath of Heaven'],['tenchu: wrath of heaven'],"['company', 'game tenchu', 'heaven']",['tenchu: wrath of heaven'],['tenchu : wrath of heaven'],[],['tenchu: wrath of heaven'],['tenchu : wrath of heaven']
86,what illness did michael visaroff die from ,['Michael Visaroff'],['michael visaroff'],"['illness', 'michael visaroff']",['michael visaroff'],['michael visaroff'],[],['michael visaroff'],['michael visaroff']
87,what label is ace of base signed to,['Ace of Base'],['ace of base'],"['label', 'base']",['ace of base'],[],[],['ace of base'],"['label', 'base']"
88,who edited the film cleopatra?,['Cleopatra'],['cleopatra'],['film cleopatra'],['film cleopatra'],['cleopatra'],[],['cleopatra'],['film cleopatra']
89,is 2464 nordenskiöld a meteor or an asteroid,['2464 Nordenskiöld'],['nordenskiold'],"['2464 nordenskiöld', 'meteor or', 'asteroid']",['2464 nordenskiold'],[],[],['nordenskiÃ¶ld'],"['2464 nordenskiold', 'meteor or', 'asteroid']"
90,what country released the film  cube,['Cube'],"['what', 'cube']","['country', 'film cube']","['what', 'film cube']",[],[],[],"['country', 'film cube']"
91,what style of architecture is villa deste,"[""Villa d'Este""]",['villa deste'],['architecture'],['villa deste'],[],[],['villa deste'],['architecture']
92,what is 6864 starkenburg,['6864 Starkenburg'],['starkenburg'],['6864 starkenburg'],['6864 starkenburg'],[],[],['starkenburg'],['6864 starkenburg']
93,Where does the santa ana river end,['Santa Ana River'],['santa ana'],['santa ana river end'],['santa ana river end'],['santa ana river'],[],['santa ana'],['santa ana river end']
94,Who did the music for the film carry on cruising,['Carry On Cruising'],['carry on cruising'],"['film', 'cruising']",['carry on cruising'],[],[],[],"['film', 'cruising']"
95,What is enno lerian 's gender,['Enno Lerian'],['enno lerian'],['gender'],['enno lerian'],['lerian'],[],['enno lerian'],['lerian']
96,Who directed woody meets davy crewcut,['Woody Meets Davy Crewcut'],['woody meets davy crewcut'],"['woody', 'davy crewcut']",['woody meets davy crewcut'],[],[],['woody meets davy crewcut'],"['woody', 'davy crewcut']"
97,Name an album by bill wyman.,['Bill Wyman'],['bill wyman'],['bill wyman'],['bill wyman'],['bill wyman'],[],['bill wyman'],['bill wyman']
98,Is jiřina bohdalová female or male?,['Jiřina Bohdalová'],['jirina bohdalova'],[],['jirina bohdalova'],['jiřina bohdalová'],"['jiřina', 'ohdal']",['jiÅ Ļina bohdalovÃ¡'],['jiřina bohdalová']
99,Name an action film.,['action film'],[],['action film'],['action film'],[],[],[],['action film']
100,what type of construction does cornwall bridge have,['Cornwall Bridge'],['cornwall bridge'],"['construction', 'cornwall']",['cornwall bridge'],[],[],['cornwall'],"['construction', 'cornwall']"
101,what is aleksei kravchenko's origin?,['Aleksei Kravchenko'],['aleksei kravchenko'],"['aleksei kravchenko', 'origin']",['aleksei kravchenko'],['aleksei kravchenko'],['aleks'],['aleksei kravchenko'],['aleksei kravchenko']
102,what language was the act of killing in?,['The Act of Killing'],[],['language'],['language'],[],[],[],['language']
103,which type of film is the bitter tea of general yen released in?,['The Bitter Tea of General Yen'],['yen'],"['film', 'general yen']",['general yen'],[],[],[],"['film', 'general yen']"
104,Who is an artist signed to warner bros. records,['Warner Bros. Records'],['warner bros. records'],"['artist', 'warner bros. records']",['warner bros. records'],[],[],['warner bros. records'],"['artist', 'warner bros. records']"
105,who is a person with politician as a profession,['politician'],[],['profession'],['profession'],[],[],[],['profession']
106,Name a drama film.,['drama film'],[],['drama film'],['drama film'],[],[],[],['drama film']
107,is rob renes a male or female ,['Rob Renes'],['rob renes'],['rob renes'],['rob renes'],[],[],['rob renes'],['rob renes']
108,What kind of music is the album farewell aldebaran,['Farewell Aldebaran'],['aldebaran'],"['music', 'album farewell']",['aldebaran'],[],[],['farewell aldebaran'],"['music', 'album farewell']"
109,Who directed the film the congress,['The Congress'],['the congress'],"['film', 'congress']",['the congress'],[],[],['the congress'],"['film', 'congress']"
110,what is an adaptation of la bohème called ,['La bohème'],['la boheme'],['la bohème'],['la boheme'],[],[],['bohÃ¨me'],['la boheme']
111,What is the name of a folk rock album?,['folk rock'],[],['folk rock album'],['folk rock album'],[],[],[],['folk rock album']
112,who wrote the music for kiss kiss,['Kiss Kiss'],['kiss kiss'],['kiss kiss'],['kiss kiss'],['kiss kiss'],[],['kiss kiss'],['kiss kiss']
113,where is the priests wife set,"[""The Priest's Wife""]",[],['priests wife'],['priests wife'],[],[],[],['priests wife']
114,which series is skyclans destiny a part of ,"[""SkyClan's Destiny""]",['skyclans destiny'],"['series', 'skyclans destiny']",['skyclans destiny'],['skyclans'],[],['skyclans destiny'],['skyclans destiny']
115,which film did ryuichi sakamoto create the music for ,['Ryuichi Sakamoto'],['ryuichi sakamoto'],"['film', 'ryuichi sakamoto']",['ryuichi sakamoto'],['ryuichi sakamoto'],['ryu'],['ryuichi sakamoto'],['ryuichi sakamoto']
116,what novelist was born in chicago?,['Chicago'],['chicago'],"['novelist', 'chicago']",['chicago'],['chicago'],[],['chicago'],['chicago']
117,who is paul reubens's father,['Paul Reubens'],['paul reubens'],"['paul reubens', 'father']",['paul reubens'],['paul reubens'],[],['paul reubens'],['paul reubens']
118,Who directed the the tourist film?,['The Tourist'],[],['tourist film'],['tourist film'],[],[],[],['tourist film']
119,what is the name of an artist with epitaph records,['Epitaph Records'],['epitaph records'],['epitaph records'],['epitaph records'],[],[],[],['epitaph records']
120,what genre of film is princess caraboo,['Princess Caraboo'],['caraboo'],"['film', 'princess caraboo']",['princess caraboo'],['princess caraboo'],[],['princess caraboo'],['princess caraboo']
121,"who wrote \\""w\\"" is for wasted ","['""W"" Is for Wasted']",[],[],[],[],[],[],[]
122,what category of celestial objects does kappa draconis belong to,['Kappa Draconis'],['kappa draconis'],['celestial objects'],['kappa draconis'],[],[],['kappa draconis'],['celestial objects']
123,which program was created by amy sherman-palladino,['Amy Sherman-Palladino'],['amy sherman-palladino'],"['program', 'amy sherman-palladino']",['amy sherman-palladino'],['amy sherman-palladino'],[],['amy sherman-palladino'],['amy sherman-palladino']
124,Who is actor who was born in berlin?,['Berlin'],['berlin'],"['actor', 'berlin']",['berlin'],['berlin'],[],['berlin'],['berlin']
125,What's a gameplay mode in sacred,['Sacred'],[],[],[],[],[],[],[]
126,Who directed the film darling lili,['Darling Lili'],['darling lili'],['film darling lili'],['film darling lili'],['darling lili'],[],['lili'],['film darling lili']
127,what city and state was c. jack ellis born in,['C. Jack Ellis'],['c. jack ellis'],"['city and state', 'c. jack ellis']",['c. jack ellis'],['c. jack ellis'],[],['c. jack ellis'],['c. jack ellis']
128,Which country can claim that they created the stolen treaty,['The Stolen Treaty'],[],"['country', 'treaty']","['country', 'treaty']",[],[],[],"['country', 'treaty']"
129,What is johnny russell's nationality?,['Johnny Russell'],['johnny russell'],"['johnny russell', 'nationality']",['johnny russell'],['johnny russell'],[],['johnny russell'],['johnny russell']
130,what country did needful things take place in,['Needful Things'],[],"['country', 'needful things']","['country', 'needful things']",[],[],[],"['country', 'needful things']"
131,who created the story for godzilla (1998 film),['Godzilla'],['godzilla'],"['godzilla', '1998 film']",['godzilla'],['godzilla'],['zilla'],['godzilla'],['godzilla']
132,where did vic frazier die?,['Vic Frazier'],['vic frazier'],['frazier'],['vic frazier'],[],[],['vic frazier'],['frazier']
133,where was sjafruddin prawiranegara born,['Sjafruddin Prawiranegara'],['sjafruddin prawiranegara'],['sjafruddin'],['sjafruddin prawiranegara'],['sjafruddin prawiranegara'],[],['sjafruddin prawiranegara'],['sjafruddin prawiranegara']
134,Which instrument did grete sultan play?,['Grete Sultan'],['grete sultan'],"['instrument', 'grete sultan']",['grete sultan'],[],[],['grete'],"['instrument', 'grete sultan']"
135,Who wrote the book strega,['Strega'],['strega'],['book strega'],['book strega'],[],[],['strega'],['book strega']
136,what is georgia gibbs's country of nationality?,['Georgia Gibbs'],['georgia gibbs'],"['georgia gibbs', 'nationality']",['georgia gibbs'],['georgia gibbs'],['g'],['georgia gibbs'],['georgia gibbs']
137,what is cassiesteele's gender?,['Cassie Steele'],['cassiesteele'],"['cassiesteele', 'gender']",['cassiesteele'],['cassiesteele'],[],['cassiesteele'],['cassiesteele']
138,The film abduction  was edited by whom? ,['Abduction'],"['abduction', 'whom']",['film abduction'],"['film abduction', 'whom']",[],[],[],['film abduction']
139,What's a movie where stuart ford was the executive producer,['Stuart Ford'],"[""what's a movie"", 'stuart ford']","['movie', 'stuart ford', 'executive producer']","[""what's a movie"", 'stuart ford']",['stuart ford'],[],['stuart ford'],['stuart ford']
140,What is Roger Molliens gender?,['Roger Mollien'],['roger molliens'],['Roger Molliens gender'],['roger molliens gender'],['Roger Molliens'],['Roger Mollie'],['Roger Molliens'],['Roger Molliens']
141,what is the genre of bernthøler?,['Bernthøler'],['bernthøler'],['bernthøler'],['bernthøler'],[],[],[],['berntholer']
142,Which basin country is hinze dam located in,['Hinze Dam'],['hinze dam'],"['basin country', 'hinze dam']",['hinze dam'],[],[],['hinze dam'],"['basin country', 'hinze dam']"
143,where was hank cochran birthed,['Hank Cochran'],['hank cochran'],['hank cochran'],['hank cochran'],['hank cochran'],[],['hank cochran'],['hank cochran']
144,what is the gender of eberhard kinzel?,['Eberhard Kinzel'],['eberhard kinzel'],['eberhard kinzel'],['eberhard kinzel'],['eberhard kinzel'],['berhard'],['eberhard kinzel'],['eberhard kinzel']
145,What film was produced by monogram pictures?,['Monogram Pictures'],['monogram pictures'],"['film', 'monogram pictures']",['monogram pictures'],[],[],[],"['film', 'monogram pictures']"
146,leo bertos was born in what country?,['Leo Bertos'],['leo bertos'],"['leo bertos', 'country']",['leo bertos'],['leo bertos'],[],['leo bertos'],['leo bertos']
147,Which language is the film grindhouse in,['Grindhouse'],['grindhouse'],['language'],['grindhouse'],[],[],[],['language']
148,which country is on my way from,['On My Way'],[],['country'],['country'],[],[],[],['country']
149,what gender is hawkman?,['Hawkman'],['hawkman'],"['gender', 'hawkman']",['hawkman'],['hawkman'],[],['hawkman'],['hawkman']
150,What gender is laura kirkpatrick,['Laura Kirkpatrick'],['laura kirkpatrick'],"['gender', 'laura kirkpatrick']",['laura kirkpatrick'],['laura kirkpatrick'],[],['laura kirkpatrick'],['laura kirkpatrick']
151,What language does Sanjog Se Bani Sangini speak?,['Sanjog Se Bani Sangini'],"['sanjog', 'bani sangini']","['language', 'Sanjog Se Bani Sangini']",['sanjog se bani sangini'],['Sanjog Se Bani Sangini'],['Sanjog Se Bani Sangini'],['Sanjog Se Bani Sangini'],['Sanjog Se Bani Sangini']
152,What gameplay options are available for the game growlanser iv: wayfarer of the time,['Growlanser Wayfarer of Time'],"['growlanser iv', 'wayfarer of the time']","['gameplay options', 'time']","['wayfarer of the time', 'growlanser iv']",['growlanser iv : wayfarer of the time'],[],['growlanser iv: wayfarer of the time'],['growlanser iv : wayfarer of the time']
153,what kind of game is super monkey ball: banana blitz,['Super Monkey Ball: Banana Blitz'],"['monkey ball', 'banana blitz']","['game', 'super monkey ball', 'banana blitz']","['banana blitz', 'super monkey ball']",['monkey'],[],[],['super monkey ball']
154,who wrote the film the inner circle,['The Inner Circle'],['the inner circle'],"['film', 'inner circle']",['the inner circle'],[],[],['the inner circle'],"['film', 'inner circle']"
155,where is the birthplace of rob margolies,['Rob Margolies'],['rob margolies'],['rob margolies'],['rob margolies'],[],[],['rob margolies'],['rob margolies']
156,name a piano player.,['piano'],[],['piano player'],['piano player'],[],[],[],['piano player']
157,what is the name of an episode of life on a stick,['Life on a Stick'],['life on a stick'],['stick'],['life on a stick'],[],[],"['life', 'a']",['stick']
158,what language is used in harbour drift,['Beyond the Street'],[],"['language', 'harbour drift']","['language', 'harbour drift']",[],[],[],"['language', 'harbour drift']"
159,eva isaksen is a national of which state?,['Eva Isaksen'],['eva isaksen'],"['eva isaksen', 'state']",['eva isaksen'],['eva isaksen'],[],['eva isaksen'],['eva isaksen']
160,who is the videogame developer of roc'n rope,"[""Roc 'N Rope""]","[""roc'n rope""]","[""roc'n rope""]","[""roc'n rope""]",['rope'],[],"[""roc'n rope""]","[""roc'n rope""]"
161,what was joseph-ferdinand daniel's place of death,['Joseph-Ferdinand Daniel'],['joseph-ferdinand daniel'],"['joseph-ferdinand daniel', 'death']",['joseph-ferdinand daniel'],['joseph-ferdinand daniel'],[],['joseph-ferdinand daniel'],['joseph-ferdinand daniel']
162,who directed the film drums of tahiti,['Drums of Tahiti'],['drums of tahiti'],['tahiti'],['drums of tahiti'],['drums of tahiti'],[],['drums of tahiti'],['drums of tahiti']
163,Where is philippe delorme from?,['Philippe Delorme'],['philippe delorme'],[],['philippe delorme'],['philippe delorme'],['ip'],['philippe delorme'],['philippe delorme']
164,what type of celestial object is (101180) 1998 sh9,['(101180) 1998 SH9'],[],"['celestial object', '101180', '1998 sh9']","['celestial object', '101180', '1998 sh9']",[],[],[],"['celestial object', '101180', '1998 sh9']"
165,where was gail harris born?,['Gail Harris'],['gail harris'],['gail harris'],['gail harris'],['gail harris'],[],['gail harris'],['gail harris']
166,Is anatoliy matkevych male or female?,['Anatoliy Matkevych'],['anatoliy matkevych'],['anatoliy matkevych male or female'],['anatoliy matkevych male or female'],['anatoliy matkevych'],[],['anatoliy matkevych'],['anatoliy matkevych male or female']
167,what position does bernie graham play,['Bernie Graham'],['bernie graham'],"['position', 'bernie graham']",['bernie graham'],['bernie graham'],[],['bernie graham'],['bernie graham']
168,what nation is harry werner storz originally from,['Harry Werner Storz'],['harry werner storz'],"['nation', 'harry werner storz']",['harry werner storz'],['harry werner storz'],[],['harry werner storz'],['harry werner storz']
