,subjects,predicates,objects,question,subject_labels,predicate_labels,object_labels
25,['Q11424'],"['P57', 'P57', 'P3373', 'P31/wdt']","['Q7194337', 'Q7194337', 'Q2819705', 'Q2819705', 'Q19303', 'Q19303', 'Q63980', 'Q63980', 'Q45273', 'Q45273']",Which movies were directed by siblings?,['movies'],"['director', 'director', 'sibling', 'instance of']","['Pilot', 'Pilot', 'A Dangerous Adventure', 'A Dangerous Adventure', 'Farewell to Enrico Berlinguer', 'Farewell to Enrico Berlinguer', 'The Three Stooges', 'The Three Stooges', 'Race 2', 'Race 2']"
26,"['Q9696', 'Q41176']","['P138', 'P31/wdt']","['Q77418352', 'Q8685', 'Q6232339', 'Q6232375', 'Q2900611', 'Q1125518', 'Q1125518', 'Q1631981', 'Q1631981', 'Q3373041']",What buildings are named after JFK?,"['JFK', 'buildings']","['named after', 'instance of']","['Kennedy', 'John F. Kennedy International Airport', 'John F. Kennedy Civic Arena', 'John F. Kennedy High School', 'John F. Kennedy Memorial Airport', 'Kennedytunnel', 'Kennedytunnel', 'John F. Kennedy Center for the Performing Arts', 'John F. Kennedy Center for the Performing Arts', 'Président-Kennedy building']"
27,['Q607742'],['P577'],['1968-01-01T00:00:00Z'],When was Hey Jude released?,['Hey Jude'],['publication date'],['1968-01-01T00:00:00Z']
28,[],"['P36', 'P31/wdt']","['Q854', '2', 'Q258', '3', 'Q750', '2', 'Q805', '2', 'Q1050', '2', 'Q62589', '2', 'Q62623', '5', 'Q62651', '2', 'Q157367', '2', 'Q319881', '2']",Which countries have multiple capitals?,[],"['capital', 'instance of']","['Sri Lanka', '2', 'South Africa', '3', 'Bolivia', '2', 'Yemen', '2', 'Eswatini', '2', 'Union between Sweden and Norway', '2', 'Kalmar Union', '5', 'Denmark-Norway', '2', 'Brandenburg-Prussia', '2', 'Republic of Formosa', '2']"
29,"['Q7889', 'Q215206']","['P31/wdt', 'P31/wdt']",['Q3319319'],Which video games are known to be NP complete?,"['video games', 'NP complete']","['instance of', 'instance of']",['-']
30,['Q10841764'],"['P106', 'P509']","['Q9687', '18']",What is the most common cause of death among F1 drivers?,['F1 drivers'],"['occupation', 'cause of death']","['traffic collision', '18']"
31,"['Q35869', 'Q187661']","['P31/wdt', 'P2175']",['Q202998'],Which asthma drugs are carcinogenic?,"['asthma', 'carcinogenic']","['instance of', 'medical condition treated']",['zileuton']
32,"['Q6256', 'Q756']","['P31/wdt', 'P138', 'P171*']",['-'],Which countries are named after plants?,"['countries', 'plants']","['instance of', 'named after', 'parent taxon']",['-']
33,"['Q298', 'Q4213']","['P31/wdt', 'P17']","['Q74784', 'Q672021', 'Q3830598', 'Q7944666', 'Q612291', 'Q635105', 'Q652252', 'Q672021', 'Q787525', 'Q1032158']",Which telescopes are based in Chile?,"['Chile', 'telescopes']","['instance of', 'country']","['ESO 3.6 m Telescope', 'Vera C. Rubin Observatory', 'Leonhard Euler Telescope', 'Víctor M. Blanco Telescope', 'VISTA', 'Extremely Large Telescope', 'The Great Magellan Telescope', 'Vera C. Rubin Observatory', 'Southern Astrophysical Research Telescope', 'Optical Gravitational Lensing Experiment']"
34,['Q703'],['P246'],['K'],What is the chemical symbol for Potassium?,['Potassium'],['element symbol'],['K']
35,['Q317521'],['P2002'],['elonmusk'],What is the Twitter account of Elon Musk?,['Elon Musk'],['Twitter username'],['elonmusk']
36,['Q58024'],['P169'],['Q90569739'],Who is the CEO of eBay?,['eBay'],['chief executive officer'],['Jamie Iannone']
37,"['Q19557', 'Q239825']","['P31*/wdt', 'P361']",['Q703'],Which alkali metal is in period 4,"['alkali metal', 'period 4']","['instance of', 'part of']",['potassium']
38,['Q15343'],['P183'],['Q408'],Where can I find platypuses?,['platypuses'],['endemic to'],['Australia']
39,"['Q11394', 'Q298']","['P141', 'P183']","['Q247316', 'Q303087', 'Q304494', 'Q307272', 'Q631167', 'Q834053', 'Q2840196']",Which endangered species can be found in Chile?,"['endangered species', 'Chile']","['IUCN conservation status', 'endemic to']","['Alsodes valdiviensis', 'Alsodes barrioi', 'Insuetophrynus acarpicus', 'Alsodes vanzolinii', ""Darwin's fox"", 'Chinchilla lanigera', 'Alsodes norae']"
40,['Q134447'],"['P31/wdt', 'P17']",['Q30'],Which country has the most nuclear power plants?,['nuclear power plants'],"['instance of', 'country']",['United States of America']
41,['Q3624078'],"['P31/wdt', 'P37']",['Q954'],Which country has the most official languages?,['country'],"['instance of', 'official language']",['Zimbabwe']
42,['Q30108190'],['P571'],['2013-01-01T00:00:00Z'],When did ICLR start?,['ICLR'],['inception'],['2013-01-01T00:00:00Z']
43,"['Q188', 'Q3624078']","['P31/wdt', 'P37', 'P47']","['Q183', 'Q183', 'Q347']",Which country that does not border Germany has German as an official language?,"['Germany', 'German']","['instance of', 'official language', 'shares border with']","['Germany', 'Germany', 'Liechtenstein']"
44,['Q41'],['P85'],['Q176665'],What is the national anthem of Greece?,['Greece'],['anthem'],['Hymn to Liberty']
45,['Q11424'],"['P31/wdt', 'P57', 'P57']","['Q4097169', 'Q4097166', '27']",Which pair of directors have co-directed the most movies together?,['movies'],"['instance of', 'director', 'director']","['Valentina Brumberg', 'Zinaida Brumberg', '27']"
46,['Q869733'],['P176'],['Q695087'],Which company makes Twix?,['Twix'],['manufacturer'],"['Mars, Incorporated']"
47,['Q589'],"['P31/wdt', 'P2583']",['Q16839981'],What is the nearest black hole?,['black hole'],"['instance of', 'distance from Earth']",['Great Annihilator']
48,"['Q179700', 'Q753']","['P31/wdt', 'P186']","['Q9202', 'Q321252', 'Q378034', 'Q2858460', 'Q29124344', 'Q29124477', 'Q29124668', 'Q29126825', 'Q29127877', 'Q4868081']",Which statues are made of copper?,"['statue', 'copper']","['instance of', 'made from material']","['Statue of Liberty', 'Hercules monument, Kassel', 'The Seated Scribe', 'Apollo of Piombino', '-', '-', '-', '-', '-', 'Bassetki Statue']"
49,"['Q47258130', 'Q2539']","['P31/wdt', 'P921']","['Q17087718', 'Q62657831']",Which conferences focus on machine learning?,"['conferences', 'machine learning']","['instance of', 'main subject']","['International Conference on Machine Learning', 'Conference on Machine Learning and Systems']"
50,"['Q515', 'Q4155679']","['P31/wdt', 'P138', 'P361']","['Q75933', 'Q488379', 'Q656', 'Q3471566', 'Q2887', 'Q3932', 'Q42763', 'Q2031463', 'Q2540118', 'Q191652']",Which cities are named after an apostle?,"['cities', 'apostle']","['instance of', 'named after', 'part of']","['San Pedro', 'Petropavl', 'Saint Petersburg', 'San Mateo', 'Santiago', 'São Tomé', 'Santiago de los Caballeros', 'Santo Tomé', 'Santo Tomé', 'Santo André']"
51,"['Q1361086', 'Q160746']","['P31*/wdt', 'P176']","['Q367251', 'Q1827229']",What chocolate bars are made by Nestle?,"['chocolate bars', 'Nestle']","['instance of', 'manufacturer']","['Kit Kat', 'Lion Bar']"
52,"['Q11696', 'Q9588']","['P39', 'P39', 'P1365']",['-'],Who was president before Nixon?,"['president', 'Nixon']","['position held', 'position held', 'replaces']",['-']
53,['Q25169'],['P527'],['5'],How many books are in the Hitchhiker's Guide to the Galaxy series?,"[""Hitchhiker's Guide to the Galaxy""]",['has part or parts'],['5']
54,"['Q61468436', 'Q95074', 'Q151076']","['P31/wdt', 'P1080', 'P19']","['Q7828', 'Q3176924', 'Q324430', 'Q208329', 'Q1789068', 'Q21', 'Q2704414', 'Q1070529', 'Q7828', 'Q3176924', 'Q324430', 'Q208329', 'Q1789068', 'Q21', 'Q2704414', 'Q1070529', 'Q7828', 'Q3176924', 'Q10381019', 'Q1439']",Which Simpsons characters were not born in Springfield?,"['Simpsons', 'characters', 'Springfield']","['instance of', 'from narrative universe', 'place of birth']","['Marge Simpson', 'Capital City', 'Groundskeeper Willie', 'Kirkwall', 'Abbie Simpson', 'England', 'Jebediah Springfield', 'Colony of Virginia', 'Marge Simpson', 'Capital City', 'Groundskeeper Willie', 'Kirkwall', 'Abbie Simpson', 'England', 'Jebediah Springfield', 'Colony of Virginia', 'Marge Simpson', 'Capital City', 'Rich Texan', 'Texas']"
55,['Q264554'],['P575'],['1767-01-01T00:00:00Z'],When was sparkling water invented?,['sparkling water'],['time of discovery or invention'],['1767-01-01T00:00:00Z']
56,"['Q33003557', 'Q13442814']","['P921', 'P31/wdt']",['-'],What articles discuss knowledge graph embeddings?,"['knowledge graph embeddings', 'articles']","['main subject', 'instance of']",['-']
57,['Q3665646'],"['P106', 'P2048']",['Q108697360'],Who is the tallest basketball player of all time?,['basketball player'],"['occupation', 'height']",['Olivier Rioux']
58,['Q34086'],['P569'],['28'],How old is Justin Bieber?,['Justin Bieber'],['date of birth'],['28']
59,[],['P569'],"['Q43974', 'Q23930957', 'Q174325', 'Q61467', 'Q190058', 'Q76554', 'Q3612873', 'Q62117', 'Q105121191', 'Q137814', 'Q2302657', 'Q38082415', 'Q17414318', 'Q5805886', 'Q55909691', 'Q94769833', 'Q4206924', 'Q104797457', 'Q125464', 'Q55676717', 'Q1424657', 'Q445880', 'Q55908464', 'Q10436625', 'Q94867364', 'Q66707635', 'Q19724512', 'Q61963', 'Q75655991', 'Q94918992', 'Q55902113', 'Q55907697', 'Q94924712', 'Q7527876', 'Q107482776', 'Q244383', 'Q55227847', 'Q55683117', 'Q55891447', 'Q466736', 'Q498778', 'Q64778485', 'Q990515', 'Q28080356', 'Q60844735', 'Q1530931', 'Q1048075', 'Q11958431', 'Q15628847', 'Q79627096', 'Q101826', 'Q2851374', 'Q75441346', 'Q95458510', 'Q3552156', 'Q15821379', 'Q64697686', 'Q16268422', 'Q21546834', 'Q7527803', 'Q110414476', 'Q63163450', 'Q2528572', 'Q1694795', 'Q75454955', 'Q3072642', 'Q7086876', 'Q7412164', 'Q94911525', 'Q7420427', 'Q55673557', 'Q63120906', 'Q10917749', 'Q21415686', 'Q84938700', 'Q94820018', 'Q79628190', 'Q329765', 'Q1458679', 'Q43070803', 'Q3903855', 'Q75495488', 'Q55906120', 'Q1096408', 'Q1233429', 'Q2593436', 'Q5484103', 'Q468460', 'Q957255', 'Q7343389', 'Q18814438', 'Q60842664', 'Q79628778', 'Q489441', 'Q8005312', 'Q9618884', 'Q60844858', 'Q48806398', 'Q76322222', 'Q15490443']",Whose birthday is today?,[],['date of birth'],"['Louis the Pious', 'Lothair', 'Ibn Wasil', 'Louis II, Duke of Bavaria', 'Margaret of Valois-Angoulême', 'Johannes Agricola', 'Aloisio Gonzaga', 'Otto Henry', 'Giano Teseo Casopero', 'James V of Scotland', 'Sophia von Alvensleben', 'Grosshans Thomann', 'Johannes Heidenreich', 'Fernando de Gurrea y Aragón', ""Bruno d' Affringues"", 'Cecilia von Rintdorf', 'Elizabeth Stuart, Countess of Lennox', 'Kirsten Holck', 'Nicolò Rusca', 'Johann Baptist Fabricius', 'Johann Georg Volckmar', 'Countess Emilia of Nassau', 'Konrad Heinrich von Ende', '-', 'Wilhelm Hundertpfundt', 'Melchior Moretus', 'Theophilus Ænetius', 'Augustus the Younger, Duke of Brunswick-Lüneburg', 'Nicholas Blake', 'Peter von Gersdorff', 'Ludwig von Janowitz', 'Margarete von Draxdorff', 'Georg Hagen', 'Sir John Langham, 1st Baronet', 'Antonius van Achelen', 'Rose of Lima', 'Maria Vittoria Frescobaldi', 'Conrad Geisthövel', 'Christoph Luthard', 'Francesco Rustici', 'Andreas Kinderling', 'Jost Knab', 'Matthäus Apelles von Löwenstern', 'Hercules Langrishe', 'Sibylle Catharina von Witzleben', 'Konrad Wiederhold', 'Caspar Wittich', 'Antonio Caballero de Santa María', 'Pompeo Compagnoni', 'Martin Estanga Arandia', 'Christian Carpzov', 'Anne de Rohan-Guéméné', 'Mary Noel', 'Tobiáš Gebler', 'Urbain Chevreau', 'Johann Siegmund Osterhausen', 'Georg Sigismund Müller', 'Alfonso II Gonzaga', 'Bandino Accarigi', 'Sir John Goodricke, 1st Baronet', 'Dorothea Maria, Gräfin von Hohenlohe-Waldenburg-Pfedelbach', 'Antonio de Alcántara', 'Vitaliano Borromeo', 'Johann Jakob Baur', 'Christopher Roper, 4th Baron Teynham', 'Konoe Hisatsugu', 'Olimpia Aldobrandini', 'Samuel Mearne', 'Hans Hildebrand', 'Francesco Maria Santinelli', 'Johann Matthäus Stumpf', 'José de Aguerri y Churruca', ""Nagoya Gen'i"", 'Johann Fink', 'Antonio de Brocarte Sáenz de Tejada', 'Johann Georg Lange', 'Maria Aldabalde Otamendi', 'Go-Kōmyō', 'Friedrich Casimir zu Eltz', 'Gottfried Samuel Polisius', 'Pietro Farnese', 'William Smith', 'Maria Breitsprach', 'Claude Antoine Couplet', 'Heinrich Meissner', 'Johannes Duyschot', 'Francisco de Artiga', 'Charles Plumier', 'Giacinto Calandrucci', 'Robert Daniell', 'Francois Monnaville', 'Susanna Dorothea zu Egk und Hungersbach', 'Juanes Zubeldia Aguirre', 'Felice Boselli', 'William Bedloe', 'António Carvalho da Costa', 'Maria Regina Hommel', ""Foresto d'Este"", 'Marie Hay', 'John Backwell']"
60,['Q2831'],"['P569', 'P3373', 'P569']",['True'],Is Michael Jackson the oldest child?,['Michael Jackson'],"['date of birth', 'sibling', 'date of birth']",['True']
61,['Q6581072'],"['P35', 'P21']","['Q1973', 'Q1978', 'Q1989', 'Q2003', 'Q5785', 'Q7785', 'Q9648', 'Q9676', 'Q18221', 'Q26988']",Which countries have a female head of state?,['female'],"['head of state', 'sex or gender']","['British Columbia', 'Prince Edward Island', 'Saskatchewan', 'Newfoundland and Labrador', 'Cayman Islands', 'Commonwealth of Nations', 'Falkland Islands', 'Isle of Man', 'Turks and Caicos Islands', 'Cook Islands']"
62,"['Q3624078', 'Q7269']","['P31/wdt', 'P122/wdt']","['Q917', 'Q8680', 'Q8680', 'Q207521', 'Q285658', 'Q34', 'Q35', 'Q35', 'Q145', 'Q1028']",Which countries have a monarchy?,"['countries', 'monarchy']","['instance of', 'basic form of government']","['Bhutan', 'British Empire', 'British Empire', 'Ethiopian Empire', 'First Mexican Empire', 'Sweden', 'Denmark', 'Denmark', 'United Kingdom', 'Morocco']"
63,"['Q3918', 'Q419']","['P31/wdt', 'P17']","['Q29675', 'Q1106363', 'Q1107277', 'Q1117071', 'Q961303', 'Q1033788', 'Q15217527', 'Q667748', 'Q916367', 'Q1634051']",Which universities are based in Peru?,"['universities', 'Peru']","['instance of', 'country']","['University of Lima', 'Leonardo Da Vinci University', 'Private University of Trujillo', 'Antenor Orrego Private University', 'Los Andes Peruvian University', 'Catholic University of Trujillo', 'Catholic University Los Angeles of Chimbote', 'Daniel Alcides Carrión National University', 'National University of San Antonio Abad in Cuzco', 'National University of Trujillo']"
64,['Q1096'],"['P31', 'P155']",['Q1094'],Which element precedes tin in the periodic table?,['tin'],"['instance of', 'follows']",['Indium']
65,['Q11344'],"['P31/wdt', 'P2101']",['Q650'],Which element has the lowest melting point?,['element'],"['instance of', 'melting point']",['fluorine']
66,['Q3624078'],"['P31/wdt', 'P37']",['Q1860'],Which language is the official language of the most countries?,['countries'],"['instance of', 'official language']",['English']
67,"['Q3320037', 'Q11009']","['P31*/wdt', 'P31*/wdt']","['Q165527', 'Q184357', 'Q208021', 'Q212933', 'Q578307', 'Q1119911', 'Q1816679', 'Q1831539', 'Q3320037', 'Q3342780']",Which culinary nuts are not botanical nuts?,"['culinary nuts', 'botanical nuts']","['instance of', 'instance of']","['apricot kernel', 'almond', 'walnut', 'pine nut', 'hazelnut', 'pecan nut', 'areca nut', 'creamed coconut', 'nut', 'Grenoble walnut']"
68,"['Q1075', 'Q3314483']","['P31/wdt', 'P138', 'P31*/wdt']","['Q2334511', 'Q2720565', 'Q2974481', 'Q3080396', 'Q3080423', 'Q3108722', 'Q864152', 'Q906936', 'Q3844391', 'Q3899621']",Which colours are named after fruits?,"['colours', 'fruits']","['instance of', 'named after', 'instance of']","['cerise', 'lemon', 'citron', 'strawberry', 'raspberry', 'plum', 'olive', 'lime', 'Mandarin orange', 'pear']"
69,"['Q30185', 'Q5']","['P39', 'P31/wdt', 'P31/wdt']",['-'],Which mayors were not human?,"['mayors', 'human']","['position held', 'instance of', 'instance of']",['-']
70,"['Q836270', 'Q1486643']","['P31/wdt', 'P31/wdt']","['Q646181', 'Q667957', 'Q812996', 'Q851628', 'Q1066089', 'Q1095904', 'Q1492447', 'Q3844595', 'Q19260207', 'Q23488']",Which polygonal numbers are also pronic?,"['polygonal numbers', 'pronic']","['instance of', 'instance of']","['210', '156', '42', '506', '306', '342', '870', '1332', '7140', '6']"
71,"['Q49008', 'Q712808']","['P31', 'P156', 'P31']",['Q593011'],What's the next prime after 51?,"['prime', '51']","['instance of', 'followed by', 'instance of']",['59']
72,[],['P3465'],['Q761648'],What animal can hear the highest frequency?,[],['maximum frequency of audible sound'],['Galleria mellonella']
73,"['Q3624078', 'Q16']","['P2853', 'P2853', 'P31/wdt']","['Q419', 'Q423', 'Q424', 'Q695', 'Q702', 'Q717', 'Q734', 'Q739', 'Q736', 'Q750']",Which countries use the same plug as Canada?,"['countries', 'Canada']","['electrical plug type', 'electrical plug type', 'instance of']","['Peru', 'North Korea', 'Cambodia', 'Palau', 'Federated States of Micronesia', 'Venezuela', 'Guyana', 'Colombia', 'Ecuador', 'Bolivia']"
74,['Q7191'],"['P166', 'P31*/wdt']","['Q48983', 'Q7186']",Who has won more than one type of Nobel Prize?,['Nobel Prize'],"['award received', 'instance of']","['Linus Pauling', 'Marie Curie']"
75,"['Q515', 'Q2977']","['P31*/wdt', 'P131*', 'P31*/wdt']",['Q649'],Which city has the most catedrals?,"['city', 'catedrals']","['instance of', 'located in the administrative territorial entity', 'instance of']",['Moscow']
76,['Q243543'],['P176'],['Q53268'],What make of car is a Corolla?,['Corolla'],['manufacturer'],['Toyota']
77,"['Q8502', 'Q5456']","['P31*/wdt', 'P4552*', 'P2044']",['-'],What is the tallest mountain in the Andes?,"['Mountain', 'Andes']","['instance of', 'mountain range', 'elevation above sea level']",['-']
78,['Q11696'],"['P26', 'P39']",['Q22686'],Which American president had the most wives?,['American president'],"['spouse', 'position held']",['Donald Trump']
79,['Q13196750'],['P1622'],"['Q17', 'Q27', 'Q114', 'Q145', 'Q229', 'Q233', 'Q244', 'Q252', 'Q258', 'Q334']",Which countries drive on the left?,['left'],['driving side'],"['Japan', 'Ireland', 'Kenya', 'United Kingdom', 'Cyprus', 'Malta', 'Barbados', 'Indonesia', 'South Africa', 'Singapore']"
80,['Q47043'],['P571'],['1974-05-19T00:00:00Z'],When was the Rubix cube invented?,['Rubix cube'],['inception'],['1974-05-19T00:00:00Z']
81,"['Q185667', 'Q2020153']","['P31/wdt', 'P664', 'P166']","['Q48026033', 'Q50355797', 'Q28053046', 'Q76721357', 'Q86968250', 'Q104243738']",Which conferences were organized by Turing award winners?,"['Turing award', 'conferences']","['instance of', 'organizer', 'award received']","['The 11th International Semantic Web Conference', 'Sixth International Conference on Learning Representations', 'Thirtieth Annual Conference on Neural Information Processing Systems', 'Twenty-Second Annual Conference on Neural Information Processing Systems', '3rd International Conference on Learning Representations', 'International Conference on Learning Representations 2013']"
82,"['Q7889', 'Q223341']","['P31*/wdt', 'P178', 'P178']","['Q72716423', 'Q75230763', 'Q223341', 'Q2998270', 'Q3008213', 'Q67650639', 'Q72716423', 'Q75230763', 'Q86919275', 'Q67650639']",What video games are made by the developer of League of Legends?,"['video games', 'League of Legends']","['instance of', 'developer', 'developer']","['Legends of Runeterra', 'League of Legends: Wild Rift', 'League of Legends', 'Cosmic Fantasy Stories', 'Cyborg 009', 'Teamfight Tactics', 'Legends of Runeterra', 'League of Legends: Wild Rift', 'Valorant', 'Teamfight Tactics']"
83,"['Q36180', 'Q150', 'Q13955', 'Q5287']","['P106', 'P1412', 'P1412', 'P1412']","['Q55963', 'Q3057567', 'Q356719', 'Q472147', 'Q546374']","Which writers speak French, Arabic and Japanese?","['writers', 'French', 'Arabic', 'Japanese']","['occupation', 'languages spoken, written or signed', 'languages spoken, written or signed', 'languages spoken, written or signed']","['František Lorenz', 'Erwin Raisz', 'Carlos Ghosn', 'Charles Berlitz', 'Helen DeWitt']"
84,['Q12184'],"['P31*/wdt', 'P580', 'P582']",['Q18341002'],Which pandemic lasted the longest?,['pandemic'],"['instance of', 'start time', 'end time']",['second plague pandemic']
