,question,entities,resources,MuHeQA_Cand,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,WEL
21,What alcoholic drinks are made with orange?,"['alcoholic drinks', ' orange']","['Q154', ' Q13191']","['Q57297524', 'Q71095362', 'Q34585487', 'Q86650456', 'Q38447688', 'Q28245399', 'Q110594714', 'Q42470508', 'Q58706461', 'Q154', 'Q80359036', 'Q34585487', 'Q52317038', 'Q44311483', 'Q39338', 'Q491350', 'Q488543', 'Q13191', 'Q187796', 'Q982388', 'Q1087121', 'Q580973', 'Q1431486', 'Q3355089']","['Q154', 'Q13191']","['Q154', 'Q39338']","['Q154', 'Q39338', 'Q13191']","['Q154', 'Q39338', 'Q13191']","['Q154', 'Q13191']"
22,Which video games have a fox character?,"['fox', ' video games']","['Q19594662', ' Q7889']","['Q8331', 'Q1158210', 'Q185194', 'Q224111', 'Q60238941', 'Q1440169', 'Q257169', 'Q1393168', 'Q2081430', 'Q379213', 'Q771253', 'Q75115362', 'Q17989995', 'Q75118273', 'Q61052442', 'Q1783351', 'Q108198287', 'Q75116167', 'Q47510340', 'Q75135609', 'Q7889', 'Q87577146', 'Q210167', 'Q105393890', 'Q110593025', 'Q110593950', 'Q37643', 'Q1137109', 'Q209163', 'Q193564']","['Q8331', 'Q1783351']","['Q8331', 'Q771253']","['Q8331', 'Q771253', 'Q75115362']","['Q8331', 'Q771253', 'Q75115362']","['Q7889', 'Q8331']"
23,How many astronauts studied at MIT?,"['astronauts', ' MIT']","['Q11631', ' Q49108']","['Q11631', 'Q931113', 'Q47513131', 'Q105385846', 'Q5710031', 'Q18684309', 'Q17056254', 'Q4811623', 'Q105378960', 'Q4811621', 'Q2453076', 'Q2868586', 'Q5932273', 'Q3627648', 'Q29566194', 'Q4811608', 'Q751700', 'Q67021662', 'Q110209908', 'Q49108', 'Q334661', 'Q478481', 'Q286740', 'Q423870', 'Q3268248', 'Q24720880', 'Q230684', 'Q908840', 'Q508364']","['Q47513131', 'Q24720880']","['Q47513131', 'Q24720880']","['Q47513131', 'Q24720880']","['Q47513131', 'Q24720880', 'Q49108']","['Q11631', 'Q49108']"
24,When was the first exoplanet discovered?,['exoplanet'],['Q44559'],"['Q44559', 'Q15694531', 'Q64494562', 'Q5281832', 'Q64494313', 'Q64493403', 'Q5420638', 'Q3809431', 'Q34342728', 'Q5420639']",['Q5420638'],['Q5420638'],['Q5420638'],['Q5420638'],['Q44559']
25,Which movies were directed by siblings?,['movies'],['Q11424'],"['Q1179487', 'Q7752568', 'Q93245104', 'Q51127603', 'Q110249497', 'Q78658458', 'Q18424685', 'Q6926907', 'Q42311253', 'Q42692171', 'Q11424', 'Q1473699', 'Q3032397', 'Q41253', 'Q2526255', 'Q3282637', 'Q188473', 'Q220505', 'Q2650998', 'Q506240']",['Q51127603'],['Q1179487'],['Q1179487'],"['Q51127603', 'Q1179487']","['Q11424', 'Q31184']"
26,What buildings are named after JFK?,"['JFK', ' buildings']","['Q9696', ' Q41176']","['Q9696', 'Q8685', 'Q741823', 'Q216617', 'Q18041011', 'Q17092870', 'Q20049089', 'Q25218281', 'Q11225746', 'Q20456345', 'Q41176', 'Q50806932', 'Q3704079', 'Q18666920', 'Q4986619', 'Q18564680', 'Q20064506', 'Q96329097', 'Q96329101', 'Q64074418', 'Q385378', 'Q47162123', 'Q1362142', 'Q43694649', 'Q4986445', 'Q104640533', 'Q4986439', 'Q106768930', 'Q20787741']","['Q11225746', 'Q50806932', 'Q18564680', 'Q96329097', 'Q64074418']","['Q741823', 'Q50806932']","['Q741823', 'Q50806932']","['Q741823', 'Q50806932']","['Q385378', 'Q9696']"
27,When was Hey Jude released?,['Hey Jude'],['Q607742'],"['Q607742', 'Q60860674', 'Q10523798', 'Q3135087', 'Q60696782', 'Q72610337', 'Q60696979', 'Q39070927', 'Q84727135', 'Q250064']",['Q10523798'],['Q607742'],['Q607742'],"['Q607742', 'Q10523798']",['Q607742']
28,Which countries have multiple capitals?,[''],[''],[],[],[],[],[],"['Q6256', 'Q5119']"
29,Which video games are known to be NP complete?,"['video games', ' NP complete']","['Q7889', ' Q215206']","['Q771253', 'Q75115362', 'Q17989995', 'Q75118273', 'Q61052442', 'Q1783351', 'Q108198287', 'Q75116167', 'Q47510340', 'Q75135609', 'Q7889', 'Q87577146', 'Q210167', 'Q105393890', 'Q110593025', 'Q110593950', 'Q37643', 'Q1137109', 'Q209163', 'Q193564', 'Q215206', 'Q18613050', 'Q21055677', 'Q56157366', 'Q59592734', 'Q60630583', 'Q60060539', 'Q29036420', 'Q66819887', 'Q58488763']","['Q1783351', 'Q215206']","['Q771253', 'Q215206']","['Q771253', 'Q75115362', 'Q215206']","['Q771253', 'Q75115362', 'Q21055677', 'Q215206']","['Q7889', 'Q837']"
30,What is the most common cause of death among F1 drivers?,['F1 drivers'],['Q10841764'],"['Q10841764', 'Q17671617', 'Q10841764']",['Q10841764'],['Q10841764'],['Q10841764'],['Q10841764'],"['Q1931388', 'Q4', 'Q1968']"
31,Which asthma drugs are carcinogenic?,"['asthma', ' carcinogenic']","['Q35869', ' Q187661']","['Q35869', 'Q28237297', 'Q85858523', 'Q57416135', 'Q67595530', 'Q89723811', 'Q89218803', 'Q73937350', 'Q4071650', 'Q72213343', 'Q38459347', 'Q58296516', 'Q34578661', 'Q39965848', 'Q50279655', 'Q37170365', 'Q55054751', 'Q36550875', 'Q34390486', 'Q50205714']","['Q35869', 'Q39965848']","['Q35869', 'Q34578661']","['Q35869', 'Q39965848']","['Q35869', 'Q39965848', 'Q34578661']",['Q35869']
32,Which countries are named after plants?,"['countries', ' plants']","['Q6256', ' Q756']","['Q6256', 'Q60332278', 'Q87048619', 'Q60845045', 'Q59542795', 'Q61830521', 'Q3063249', 'Q59621182', 'Q160016', 'Q104905121', 'Q83440', 'Q6256', 'Q201608', 'Q353073', 'Q1754454', 'Q25279', 'Q22828881', 'Q175185', 'Q12629233', 'Q5177190', 'Q756', 'Q27724544', 'Q188840', 'Q20786292', 'Q37459022', 'Q77961245', 'Q77963226', 'Q71901925', 'Q77961250', 'Q10632994', 'Q346195', 'Q37054828', 'Q7189622', 'Q8192007', 'Q441', 'Q639588', 'Q1184366', 'Q12501584']","['Q6256', 'Q6256', 'Q27724544']","['Q6256', 'Q27724544']","['Q6256', 'Q27724544']","['Q6256', 'Q27724544']","['Q6256', 'Q756']"
33,Which telescopes are based in Chile?,"['Chile', ' telescopes']","['Q298', ' Q4213']","['Q298', 'Q1045129', 'Q396324', 'Q18418541', 'Q5490088', 'Q99299995', 'Q103780179', 'Q37446942', 'Q23650252', 'Q5965485', 'Q7696807', 'Q59000781', 'Q26214138', 'Q33697354', 'Q64271657', 'Q46966319', 'Q81186639', 'Q68314525', 'Q58992154', 'Q58974826', 'Q4213', 'Q261131', 'Q4454103', 'Q7696799', 'Q18172319', 'Q60920972', 'Q87581022', 'Q7696798', 'Q16168945', 'Q97988102']","['Q99299995', 'Q59000781']","['Q298', 'Q7696807']","['Q298', 'Q7696807']","['Q298', 'Q7696807', 'Q59000781']","['Q4213', 'Q298']"
34,What is the chemical symbol for Potassium?,['Potassium'],['Q703'],"['Q703', 'Q34749607', 'Q58088485', 'Q658883', 'Q65052929', 'Q108309884', 'Q56058875', 'Q73370297', 'Q57538292', 'Q70640680']",['Q108309884'],['Q703'],['Q703'],['Q703'],"['Q102500', 'Q703']"
35,What is the Twitter account of Elon Musk?,['Elon Musk'],['Q317521'],"['Q317521', 'Q46845259', 'Q110037567', 'Q20718232', 'Q110189148', 'Q110500926', 'Q110189112', 'Q22988814', 'Q22666402', 'Q108029720']",['Q317521'],['Q317521'],['Q317521'],['Q317521'],"['Q918', 'Q317521']"
36,Who is the CEO of eBay?,['eBay'],['Q58024'],"['Q58024', 'Q127268', 'Q2354379', 'Q29000329', 'Q47005148', 'Q17610618', 'Q620895', 'Q29000330', 'Q107385765', 'Q3045828']",['Q58024'],['Q58024'],['Q58024'],['Q58024'],"['Q484876', 'Q58024']"
37,Which alkali metal is in period 4,"['alkali metal', ' period 4']","['Q19557', ' Q239825']","['Q19557', 'Q37701634', 'Q3143826', 'Q74502356', 'Q24646944', 'Q34778361', 'Q2616114', 'Q34159428', 'Q58873629', 'Q33320837', 'Q239825']","['Q19557', 'Q239825']","['Q19557', 'Q239825']","['Q19557', 'Q239825']","['Q19557', 'Q239825']","['Q19557', 'Q172008']"
38,Where can I find platypuses?,['platypuses'],['Q15343'],"['Q50397629', 'Q15343', 'Q18289521', 'Q657617', 'Q20726406', 'Q4047059', 'Q238083', 'Q87270862', 'Q98447166', 'Q56928786', 'Q43635959']",['Q50397629'],['Q50397629'],['Q50397629'],"['Q50397629', 'Q15343']",['Q15343']
39,Which endangered species can be found in Chile?,"['endangered species', ' Chile']","['Q11394', ' Q298']","['Q11394', 'Q283892', 'Q3302867', 'Q1757911', 'Q59408', 'Q19571626', 'Q5375939', 'Q5375943', 'Q96377276', 'Q1206214', 'Q15754479', 'Q31070747', 'Q31070731', 'Q2743374', 'Q57065300', 'Q33800573', 'Q100163750', 'Q298', 'Q1045129', 'Q396324', 'Q18418541', 'Q5490088', 'Q99299995', 'Q103780179', 'Q37446942', 'Q23650252', 'Q5965485']","['Q96377276', 'Q298']","['Q96377276', 'Q298']","['Q96377276', 'Q298']","['Q96377276', 'Q11394', 'Q298']","['Q11394', 'Q298']"
40,Which country has the most nuclear power plants?,['nuclear power plants'],['Q134447'],"['Q100788275', 'Q59070615', 'Q28762243', 'Q41255607', 'Q38202601', 'Q77594012', 'Q30284472', 'Q60074969', 'Q59647915', 'Q57706027', 'Q134447', 'Q7067988', 'Q27024692', 'Q30223952', 'Q58914348', 'Q100788275', 'Q565048']",['Q134447'],['Q134447'],['Q134447'],['Q134447'],"['Q3336843', 'Q159719']"
41,Which country has the most official languages?,['country'],['Q3624078'],"['Q83440', 'Q6256', 'Q201608', 'Q353073', 'Q1754454', 'Q25279', 'Q22828881', 'Q175185', 'Q12629233', 'Q5177190']",['Q6256'],['Q6256'],['Q6256'],['Q6256'],"['Q3336843', 'Q23492']"
42,When did ICLR start?,['ICLR'],['Q30108190'],"['Q30108190', 'Q23354196', 'Q23171342', 'Q22224944', 'Q22160697', 'Q23292960', 'Q24137081', 'Q23596024', 'Q23251789', 'Q23420746']","['Q22224944', 'Q22160697']",['Q23354196'],['Q23354196'],"['Q23354196', 'Q23171342']",['Q30108190']
43,Which country that does not border Germany has German as an official language?,"['Germany', ' German']","['Q188', ' Q3624078']","['Q183', 'Q43287', 'Q41304', 'Q1206012', 'Q1350565', 'Q423030', 'Q1011486', 'Q37444958', 'Q99292811', 'Q43310', 'Q188', 'Q5901420', 'Q28914610', 'Q348514', 'Q2699418', 'Q24088311', 'Q2990861', 'Q3071702', 'Q3708826', 'Q2734574']","['Q183', 'Q188']","['Q183', 'Q188']","['Q183', 'Q188']","['Q183', 'Q188']","['Q3336843', 'Q183', 'Q23492']"
44,What is the national anthem of Greece?,['Greece'],['Q41'],"['Q41', 'Q11772', 'Q265824', 'Q2610369', 'Q1358836', 'Q1544516', 'Q36902901', 'Q99317489', 'Q97586030', 'Q59817847']",['Q41'],['Q41'],['Q41'],['Q41'],"['Q23691', 'Q41']"
45,Which pair of directors have co-directed the most movies together?,['movies'],['Q11424'],"['Q1179487', 'Q7752568', 'Q93245104', 'Q51127603', 'Q110249497', 'Q78658458', 'Q18424685', 'Q6926907', 'Q42311253', 'Q42692171', 'Q11424', 'Q1473699', 'Q3032397', 'Q41253', 'Q2526255', 'Q3282637', 'Q188473', 'Q220505', 'Q2650998', 'Q506240']",['Q51127603'],['Q1179487'],['Q1179487'],"['Q51127603', 'Q1179487']","['Q191290', 'Q2526255', 'Q11424']"
46,Which company makes Twix?,['Twix'],['Q869733'],"['Q869733', 'Q2408534', 'Q1362781', 'Q3115058', 'Q3055213', 'Q651938', 'Q3542584', 'Q94259719', 'Q3542583', 'Q2462363']",['Q869733'],['Q869733'],['Q869733'],['Q869733'],"['Q783794', 'Q869733']"
47,What is the nearest black hole?,['black hole'],['Q589'],"['Q589', 'Q304029', 'Q111088129', 'Q880302', 'Q346086', 'Q2331527', 'Q4920983', 'Q106854990', 'Q4920988', 'Q55382079']",['Q589'],['Q589'],['Q589'],['Q589'],['Q589']
48,Which statues are made of copper?,"['statue', ' copper']","['Q179700', ' Q753']","['Q179700', 'Q67196905', 'Q7766417', 'Q3989460', 'Q57504196', 'Q31317126', 'Q103309027', 'Q12698799', 'Q101581054', 'Q7604474', 'Q753', 'Q384593', 'Q355406', 'Q258719', 'Q723', 'Q1084471', 'Q583353', 'Q2722041', 'Q33670250', 'Q2234697']","['Q179700', 'Q753']","['Q179700', 'Q753']","['Q179700', 'Q753']","['Q179700', 'Q753', 'Q2722041']","['Q179700', 'Q753']"
49,Which conferences focus on machine learning?,"['conferences', ' machine learning']","['Q47258130', ' Q2539']","['Q58728117', 'Q88489923', 'Q87703713', 'Q88514878', 'Q88489549', 'Q88536900', 'Q83319092', 'Q87771414', 'Q88478253', 'Q88514452', 'Q625994', 'Q58916', 'Q2992826', 'Q18504', 'Q348914', 'Q747247', 'Q63968525', 'Q101049682', 'Q55844602', 'Q104638836', 'Q2539', 'Q6723676', 'Q108371168', 'Q57739838', 'Q66498419', 'Q57015355', 'Q57739609', 'Q62772558', 'Q62772547', 'Q28310323']","['Q58728117', 'Q88489923', 'Q87703713', 'Q88514878', 'Q88489549', 'Q88536900', 'Q83319092', 'Q87771414', 'Q88478253', 'Q88514452', 'Q2539']","['Q58728117', 'Q2539']","['Q58728117', 'Q2539']","['Q58728117', 'Q88489923', 'Q2539']","['Q2020153', 'Q2539']"
50,Which cities are named after an apostle?,"['cities', ' apostle']","['Q515', ' Q4155679']","['Q515', 'Q15735494', 'Q5122468', 'Q2591514', 'Q5122470', 'Q2651418', 'Q51350859', 'Q100375275', 'Q1822131', 'Q5122467', 'Q515', 'Q50602', 'Q19481', 'Q18736', 'Q19444', 'Q18662', 'Q18721', 'Q18659', 'Q19477', 'Q48879', 'Q43412', 'Q619820', 'Q29454857', 'Q8202861', 'Q15699988', 'Q9200', 'Q3620760', 'Q3620748', 'Q17584250', 'Q37045336']","['Q5122470', 'Q15699988', 'Q3620760']","['Q15735494', 'Q15699988']","['Q15735494', 'Q15699988']","['Q15735494', 'Q43412', 'Q15699988']","['Q515', 'Q43412']"
51,What chocolate bars are made by Nestle?,"['chocolate bars', ' Nestle']","['Q1361086', ' Q160746']","['Q34992643', 'Q95822292', 'Q1361086', 'Q87576997', 'Q79996341', 'Q10450877', 'Q95822292', 'Q33360900', 'Q160746', 'Q348647', 'Q37485297', 'Q13330368', 'Q26853934', 'Q27721020', 'Q27716649', 'Q27207017', 'Q452283', 'Q1204628']","['Q1361086', 'Q37485297']","['Q1361086', 'Q348647']","['Q1361086', 'Q348647', 'Q37485297']","['Q1361086', 'Q348647', 'Q37485297']","['Q1361086', 'Q160746']"
52,Who was president before Nixon?,"['president', ' Nixon']","['Q11696', ' Q9588']","['Q30461', 'Q140686', 'Q212071', 'Q1758037', 'Q61061', 'Q1255921', 'Q4376769', 'Q2660648', 'Q7439472', 'Q3226054', 'Q9588', 'Q16880460', 'Q839042', 'Q982235', 'Q252010', 'Q2483008', 'Q1183928', 'Q16858111', 'Q5959289', 'Q16858107']","['Q30461', 'Q839042']","['Q30461', 'Q16880460']","['Q30461', 'Q839042']","['Q30461', 'Q839042']","['Q1255921', 'Q9588']"
53,How many books are in the Hitchhiker's Guide to the Galaxy series?,"['""Hitchhikers Guide to the Galaxy""']",['Q25169'],[],[],[],[],[],"['Q571', 'Q109061', 'Q35852386', 'Q182012']"
54,Which Simpsons characters were not born in Springfield?,"['Simpsons', ' characters', ' Springfield']","['Q61468436', ' Q95074', ' Q151076']","['Q7764350', 'Q23041604', 'Q935959', 'Q21494356', 'Q92980416', 'Q7521163', 'Q79002806', 'Q80583088', 'Q2585271', 'Q182254', 'Q1620031', 'Q5073785', 'Q106450785', 'Q461203', 'Q29278788', 'Q58451696', 'Q60664175', 'Q875368', 'Q4359230', 'Q1439720', 'Q95074', 'Q44374960', 'Q3241972', 'Q1792372', 'Q88392887', 'Q32483', 'Q366773', 'Q928545', 'Q1149305', 'Q1062911', 'Q28515', 'Q49158', 'Q135615', 'Q151076', 'Q40325', 'Q926559', 'Q40268', 'Q191058', 'Q40212', 'Q185323']","['Q21494356', 'Q1620031', 'Q151076']","['Q23041604', 'Q1620031', 'Q28515']","['Q935959', 'Q23041604', 'Q1620031', 'Q28515']","['Q935959', 'Q21494356', 'Q23041604', 'Q1620031', 'Q5073785', 'Q28515', 'Q49158']","['Q886', 'Q49158']"
55,When was sparkling water invented?,['sparkling water'],['Q264554'],"['Q264554', 'Q60065772', 'Q42950194', 'Q48562156', 'Q103843794', 'Q49450563']",['Q60065772'],['Q60065772'],['Q60065772'],['Q60065772'],['Q264554']
56,What articles discuss knowledge graph embeddings?,"['knowledge graph embeddings', ' articles']","['Q33003557', ' Q13442814']","['Q59000000', 'Q55982392', 'Q56158061', 'Q91497772', 'Q58277538', 'Q57567799', 'Q91490688', 'Q58416366', 'Q79947441', 'Q94244876', 'Q191067', 'Q13442814', 'Q103184', 'Q5707594', 'Q712597', 'Q88392887', 'Q2360918', 'Q111478', 'Q16200559', 'Q33643329']","['Q58416366', 'Q79947441']",['Q55982392'],['Q55982392'],"['Q55982392', 'Q58277538']","['Q103184', 'Q5597085']"
57,Who is the tallest basketball player of all time?,['basketball player'],['Q3665646'],"['Q3665646', 'Q97142647', 'Q42571251', 'Q47386001', 'Q47892394', 'Q106769321', 'Q28811411', 'Q98226962', 'Q90685732']",['Q3665646'],['Q3665646'],['Q3665646'],['Q3665646'],"['Q5372', 'Q11471']"
58,How old is Justin Bieber?,['Justin Bieber'],['Q34086'],"['Q34086', 'Q110037270', 'Q949429', 'Q1164777', 'Q60456247', 'Q60457386', 'Q60457874', 'Q15285106', 'Q84078716', 'Q60456306']",['Q34086'],['Q34086'],['Q34086'],['Q34086'],['Q34086']
59,Whose birthday is today?,[''],[''],[],[],[],[],[],"['Q47223', 'Q130838']"
60,Is Michael Jackson the oldest child?,['Michael Jackson'],['Q2831'],"['Q2831', 'Q167877', 'Q1928065', 'Q92948', 'Q2468273', 'Q41875025', 'Q512265', 'Q6831556', 'Q75761279', 'Q75478467']",['Q2831'],['Q2831'],['Q2831'],"['Q2831', 'Q167877']","['Q2831', 'Q7569']"
61,Which countries have a female head of state?,['female'],['Q6581072'],"['Q43445', 'Q6581072', 'Q467', 'Q639354', 'Q11659367', 'Q15600976', 'Q63650079', 'Q5442715', 'Q18708947', 'Q47128284']",['Q6581072'],['Q6581072'],"['Q639354', 'Q6581072']","['Q639354', 'Q6581072']","['Q6256', 'Q48352', 'Q7275']"
62,Which countries have a monarchy?,"['countries', ' monarchy']","['Q3624078', ' Q7269']","['Q6256', 'Q60332278', 'Q87048619', 'Q60845045', 'Q59542795', 'Q61830521', 'Q3063249', 'Q59621182', 'Q160016', 'Q104905121', 'Q83440', 'Q6256', 'Q201608', 'Q353073', 'Q1754454', 'Q25279', 'Q22828881', 'Q175185', 'Q12629233', 'Q5177190', 'Q7269', 'Q6898056', 'Q6898055', 'Q55071938', 'Q85786104', 'Q739941', 'Q7995869', 'Q889833', 'Q508840', 'Q26796319']","['Q60332278', 'Q60845045', 'Q59542795', 'Q59621182', 'Q7269']","['Q6256', 'Q7269']","['Q6256', 'Q7269']","['Q6256', 'Q7269']","['Q6256', 'Q7269']"
